SG=<i>P</i>4'/<i>n</i><i>b</i>'<i>m</i>
 name=125.366
 spinor=False
symmetries=
        1 0 0 0 1 0 0 0 1    0 0 0     1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
  -1 0 0 0 -1 0 0 0 1    1/2 1/2 0    1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5
       0 1 0 1 0 0 0 0 -1    0 0 0  0.0 1.0 1.0 0.0    0.0 -0.75 0.75 0.0
 0 -1 0 -1 0 0 0 0 -1    1/2 1/2 0   0.0 1.0 1.0 0.0    0.0 0.75 0.25 0.0
     -1 0 0 0 -1 0 0 0 -1    0 0 0     1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
   1 0 0 0 1 0 0 0 -1    1/2 1/2 0    1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5
      0 -1 0 -1 0 0 0 0 1    0 0 0  0.0 1.0 1.0 0.0    0.0 -0.75 0.75 0.0
    0 1 0 1 0 0 0 0 1    1/2 1/2 0   0.0 1.0 1.0 0.0    0.0 0.75 0.25 0.0
     0 -1 0 1 0 0 0 0 1    1/2 0 0   1.0 0.0 0.0 1.0    0.75 0.0 0.0 0.25
     0 1 0 -1 0 0 0 0 1    0 1/2 0   1.0 0.0 0.0 1.0    0.25 0.0 0.0 0.75
    -1 0 0 0 1 0 0 0 -1    1/2 0 0     0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0
    1 0 0 0 -1 0 0 0 -1    0 1/2 0   0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0
    0 1 0 -1 0 0 0 0 -1    1/2 0 0   1.0 0.0 0.0 1.0    0.75 0.0 0.0 0.25
    0 -1 0 1 0 0 0 0 -1    0 1/2 0   1.0 0.0 0.0 1.0    0.25 0.0 0.0 0.75
     1 0 0 0 -1 0 0 0 1    1/2 0 0     0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0
     -1 0 0 0 1 0 0 0 1    0 1/2 0   0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0


kpoint  GM : 0.000000 0.000000 0.000000 :  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
-GM1+      1  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.000000  1.000000  1.0  1.0  1.000000  1.000000  1.0  1.0  1.000000  1.000000  1.0  1.0  1.000000  1.000000  1.0  1.0
-GM1-      1  1.0  1.0  1.0 -1.0 -1.0 -1.0 -1.0  1.0  1.0  1.0  1.0 -1.0 -1.0 -1.0 -1.0  1.000000  1.000000  1.0  1.0 -1.000000 -1.000000 -1.0 -1.0  1.000000  1.000000  1.0  1.0 -1.000000 -1.000000 -1.0 -1.0
-GM2+      1  1.0 -1.0 -1.0  1.0  1.0 -1.0 -1.0  1.0  1.0 -1.0 -1.0  1.0  1.0 -1.0 -1.0 -1.000000 -1.000000  1.0  1.0 -1.000000 -1.000000  1.0  1.0 -1.000000 -1.000000  1.0  1.0 -1.000000 -1.000000  1.0  1.0
-GM2-      1  1.0 -1.0 -1.0 -1.0 -1.0  1.0  1.0  1.0  1.0 -1.0 -1.0 -1.0 -1.0  1.0  1.0 -1.000000 -1.000000  1.0  1.0  1.000000  1.000000 -1.0 -1.0 -1.000000 -1.000000  1.0  1.0  1.000000  1.000000 -1.0 -1.0
-GM3+GM4+  2 -2.0  0.0  0.0  2.0 -2.0  0.0  0.0  2.0 -2.0  0.0  0.0  2.0 -2.0  0.0  0.0  0.000000  0.000000  0.0  0.0  0.000000  0.000000  0.0  0.0  0.000000  0.000000  0.0  0.0  0.000000  0.000000  0.0  0.0
-GM3-GM4-  2 -2.0  0.0  0.0 -2.0  2.0  0.0  0.0  2.0 -2.0  0.0  0.0 -2.0  2.0  0.0  0.0  0.000000  0.000000  0.0  0.0  0.000000  0.000000  0.0  0.0  0.000000  0.000000  0.0  0.0  0.000000  0.000000  0.0  0.0
-GM6       2  0.0  0.0  0.0 -2.0  0.0  0.0  0.0 -2.0  0.0  0.0  0.0  2.0  0.0  0.0  0.0 -1.414214  1.414214  0.0  0.0  1.414214 -1.414214  0.0  0.0  1.414214 -1.414214  0.0  0.0 -1.414214  1.414214  0.0  0.0



