SG=<i>R</i>-3
 name=148.17
 spinor=False
symmetries=
    1 0 0 0 1 0 0 0 1    0 0 0                                1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
  0 -1 0 1 -1 0 0 0 1    0 0 0  1.0 0.0 0.0 1.0    0.3333333333333333 0.0 0.0 0.6666666666666667
  -1 1 0 -1 0 0 0 0 1    0 0 0  1.0 0.0 0.0 1.0    0.6666666666666667 0.0 0.0 0.3333333333333333
 -1 0 0 0 -1 0 0 0 -1    0 0 0                                1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
  0 1 0 -1 1 0 0 0 -1    0 0 0  1.0 0.0 0.0 1.0    0.3333333333333333 0.0 0.0 0.6666666666666667
  1 -1 0 1 0 0 0 0 -1    0 0 0  1.0 0.0 0.0 1.0    0.6666666666666667 0.0 0.0 0.3333333333333333


kpoint  GM : 0.000000 0.000000 0.000000 :  1 2 3 4 5 6
-GM1+  1  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0
-GM1-  1  1.0  1.0 -1.0 -1.0 -1.0  1.0  1.0  1.0 -1.0 -1.0 -1.0
-GM2+  1 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5
-GM2-  1 -0.5 -0.5 -1.0  0.5  0.5  1.0 -0.5 -0.5 -1.0  0.5  0.5
-GM3+  1 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5
-GM3-  1 -0.5 -0.5 -1.0  0.5  0.5  1.0 -0.5 -0.5 -1.0  0.5  0.5
-GM7   1 -1.0 -1.0 -1.0  1.0  1.0 -1.0  1.0  1.0  1.0 -1.0 -1.0
-GM8   1  0.5  0.5 -1.0 -0.5 -0.5 -1.0 -0.5 -0.5  1.0  0.5  0.5
-GM9   1  0.5  0.5 -1.0 -0.5 -0.5 -1.0 -0.5 -0.5  1.0  0.5  0.5



kpoint  F : 0.500000 0.500000 0.500000 :  1 2
-F1+  1  1.0  1.0  1.0
-F1-  1 -1.0  1.0 -1.0
-F2   1 -1.0 -1.0  1.0



kpoint  L : 0.333333 0.666667 0.166667 :  1 2
-L1+  1  1.0  1.0  1.0
-L1-  1 -1.0  1.0 -1.0
-L2   1 -1.0 -1.0  1.0



kpoint  T : 0.500000 0.000000 0.500000 :  1 2 3 4 5 6
-T1+  1  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0
-T1-  1  1.0  1.0 -1.0 -1.0 -1.0  1.0  1.0  1.0 -1.0 -1.0 -1.0
-T2+  1 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5
-T2-  1 -0.5 -0.5 -1.0  0.5  0.5  1.0 -0.5 -0.5 -1.0  0.5  0.5
-T3+  1 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5
-T3-  1 -0.5 -0.5 -1.0  0.5  0.5  1.0 -0.5 -0.5 -1.0  0.5  0.5
-T7   1 -1.0 -1.0 -1.0  1.0  1.0 -1.0  1.0  1.0  1.0 -1.0 -1.0
-T8   1  0.5  0.5 -1.0 -0.5 -0.5 -1.0 -0.5 -0.5  1.0  0.5  0.5
-T9   1  0.5  0.5 -1.0 -0.5 -0.5 -1.0 -0.5 -0.5  1.0  0.5  0.5
