SG=<i>R</i>-3
 name=148.17
 spinor=True
symmetries=
    1 0 0 0 1 0 0 0 1    0 0 0                                1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
  0 -1 0 1 -1 0 0 0 1    0 0 0  1.0 0.0 0.0 1.0    0.3333333333333333 0.0 0.0 0.6666666666666667
  -1 1 0 -1 0 0 0 0 1    0 0 0  1.0 0.0 0.0 1.0    0.6666666666666667 0.0 0.0 0.3333333333333333
 -1 0 0 0 -1 0 0 0 -1    0 0 0                                1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
  0 1 0 -1 1 0 0 0 -1    0 0 0  1.0 0.0 0.0 1.0    0.3333333333333333 0.0 0.0 0.6666666666666667
  1 -1 0 1 0 0 0 0 -1    0 0 0  1.0 0.0 0.0 1.0    0.6666666666666667 0.0 0.0 0.3333333333333333


kpoint  GM : 0.000000 0.000000 0.000000 :  1 2 3 4 5 6
-GM4  1 -1.0 -1.0  1.0 -1.0 -1.0 -1.0  1.0  1.0 -1.0  1.0  1.0
-GM5  1  0.5  0.5  1.0  0.5  0.5 -1.0 -0.5 -0.5 -1.0 -0.5 -0.5
-GM6  1  0.5  0.5  1.0  0.5  0.5 -1.0 -0.5 -0.5 -1.0 -0.5 -0.5



kpoint  F : 0.500000 0.500000 0.500000 :  1 2
-F3  1  1.0 -1.0 -1.0



kpoint  L : 0.333333 0.666667 0.166667 :  1 2
-L3  1  1.0 -1.0 -1.0



kpoint  T : 0.500000 0.000000 0.500000 :  1 2 3 4 5 6
-T4  1 -1.0 -1.0  1.0 -1.0 -1.0 -1.0  1.0  1.0 -1.0  1.0  1.0
-T5  1  0.5  0.5  1.0  0.5  0.5 -1.0 -0.5 -0.5 -1.0 -0.5 -0.5
-T6  1  0.5  0.5  1.0  0.5  0.5 -1.0 -0.5 -0.5 -1.0 -0.5 -0.5
