SG=<i>P</i>2<sub>1</sub>'/<i>c</i>'
 name=14.79
 spinor=False
symmetries=
    1 0 0   0 1 0   0 0 1   0 0 0
 -1 0 0   0 -1 0   0 0 -1   0 0 0


kpoint  GM : 0.000000 0.000000 0.000000 :  1 2
-GM1+  1   1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
-GM1-  1   1.000 1.000 -1.000 1.000 -1.000 1.000 -1.000 1.000 -1.000 0.000 0.000 -1.000 0.000 -1.000 0.000 -1.000 0.000 -1.000
-GM2  1   1.000 1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000 1.000 0.000 0.000 -1.000 -1.000 0.000 0.000 -1.000 -1.000 0.000



kpoint  A : 0.500000 0.000000 0.500000 ; U  :  0.5 0.0 0.5 :  1 2
-(A)U1-U1+  2   2.000 2.000 0.000 2.000 0.000 0.000 0.000 0.000 0.000



kpoint  B : 0.000000 0.000000 0.500000 ; Z  :  0.0 0.0 0.5 :  1 2
-(B)Z1-Z1+  2   2.000 2.000 0.000 2.000 0.000 0.000 0.000 0.000 0.000



kpoint  C : 0.500000 0.500000 0.000000 ; V  :  0.5 0.5 0.0 :  1 2
-(C)V1-V1+  2   2.000 2.000 0.000 2.000 0.000 0.000 0.000 0.000 0.000



kpoint  D : 0.000000 0.500000 0.500000 ; T  :  0.0 0.5 0.5 :  1 2
-(D)T1+T1+  2   2.000 2.000 2.000 2.000 2.000 0.000 0.000 0.000 0.000
-(D)T1-T1-  2   2.000 2.000 -2.000 2.000 -2.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 0.000 -1.000 0.000 0.000 0.000 0.000
-(D)T2T2  2   2.000 2.000 -2.000 -2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 -1.000 0.000 0.000 0.000 0.000 0.000



kpoint  E : 0.500000 0.500000 0.500000 ; R  :  0.5 0.5 0.5 :  1 2
-(E)R1+R1+  2   2.000 2.000 2.000 2.000 2.000 0.000 0.000 0.000 0.000
-(E)R1-R1-  2   2.000 2.000 -2.000 2.000 -2.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 0.000 -1.000 0.000 0.000 0.000 0.000
-(E)R2R2  2   2.000 2.000 -2.000 -2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 -1.000 0.000 0.000 0.000 0.000 0.000



kpoint  Y : 0.500000 0.000000 0.000000 ; X  :  0.5 0.0 0.0 :  1 2
-(Y)X1+  1   1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
-(Y)X1-  1   1.000 1.000 -1.000 1.000 -1.000 1.000 -1.000 1.000 -1.000 0.000 0.000 -1.000 0.000 -1.000 0.000 -1.000 0.000 -1.000
-(Y)X2  1   1.000 1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000 1.000 0.000 0.000 -1.000 -1.000 0.000 0.000 -1.000 -1.000 0.000



kpoint  Z : 0.000000 0.500000 0.000000 ; Y  :  0.0 0.5 0.0 :  1 2
-(Z)Y1-Y1+  2   2.000 2.000 0.000 2.000 0.000 0.000 0.000 0.000 0.000
