SG=<i>P</i>3<i>c</i>'1
 name=158.59
 spinor=True
symmetries=
     1 0 0 0 1 0 0 0 1    0 0 0                                 1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
   0 -1 0 1 -1 0 0 0 1    0 0 0   1.0 0.0 0.0 1.0    0.3333333333333333 0.0 0.0 0.6666666666666667
   -1 1 0 -1 0 0 0 0 1    0 0 0   1.0 0.0 0.0 1.0    0.6666666666666667 0.0 0.0 0.3333333333333333
 0 -1 0 -1 0 0 0 0 1    0 0 1/2  0.0 1.0 1.0 0.0    0.0 -0.6666666666666667 0.6666666666666667 0.0
  -1 1 0 0 1 0 0 0 1    0 0 1/2                                 0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0
  1 0 0 1 -1 0 0 0 1    0 0 1/2   0.0 1.0 1.0 0.0    0.0 0.6666666666666667 0.3333333333333333 0.0


kpoint  GM : 0.000000 0.000000 0.000000 :  1 2 3 4 5 6
-GM4  1 -1.0 -1.0 -1.0  1.0  1.0  1.0 -1.0  1.0 -1.0  1.0 -1.0
-GM5  1  0.5  0.5 -1.0 -0.5 -0.5  1.0  0.5 -0.5 -1.0 -0.5  0.5
-GM6  1  0.5  0.5 -1.0 -0.5 -0.5  1.0  0.5 -0.5 -1.0 -0.5  0.5



kpoint  A : 0.000000 0.000000 0.500000 :  1 2 3 4 5 6
-A4A4  2 -2.0 -2.0 -2.0  2.0  2.0  0.0  0.0  0.0  0.0  0.0  0.0
-A5A5  2  1.0  1.0 -2.0 -1.0 -1.0  0.0  0.0  0.0  0.0  0.0  0.0
-A6A6  2  1.0  1.0 -2.0 -1.0 -1.0  0.0  0.0  0.0  0.0  0.0  0.0



kpoint  H : 0.333333 0.333333 0.500000 :  1 2 3 4 5 6
-H4H4  2 -2.0 -2.0 -2.0  2.0  2.0  0.0  0.0  0.0  0.0  0.0  0.0
-H5H5  2  1.0  1.0 -2.0 -1.0 -1.0  0.0  0.0  0.0  0.0  0.0  0.0
-H6H6  2  1.0  1.0 -2.0 -1.0 -1.0  0.0  0.0  0.0  0.0  0.0  0.0



kpoint  HA : 0.666667 0.666667 0.500000 :  1 2 3 4 5 6
-HA4HA4  2 -2.0 -2.0 -2.0  2.0  2.0  0.0  0.0  0.0  0.0  0.0  0.0
-HA5HA5  2  1.0  1.0 -2.0 -1.0 -1.0  0.0  0.0  0.0  0.0  0.0  0.0
-HA6HA6  2  1.0  1.0 -2.0 -1.0 -1.0  0.0  0.0  0.0  0.0  0.0  0.0



kpoint  K : 0.333333 0.333333 0.000000 :  1 2 3 4 5 6
-K4  1 -1.0 -1.0 -1.0  1.0  1.0  1.0 -1.0  1.0 -1.0  1.0 -1.0
-K5  1  0.5  0.5 -1.0 -0.5 -0.5  1.0  0.5 -0.5 -1.0 -0.5  0.5
-K6  1  0.5  0.5 -1.0 -0.5 -0.5  1.0  0.5 -0.5 -1.0 -0.5  0.5



kpoint  KA : 0.666667 0.666667 0.000000 :  1 2 3 4 5 6
-KA4  1 -1.0 -1.0 -1.0  1.0  1.0  1.0 -1.0  1.0 -1.0  1.0 -1.0
-KA5  1  0.5  0.5 -1.0 -0.5 -0.5  1.0  0.5 -0.5 -1.0 -0.5  0.5
-KA6  1  0.5  0.5 -1.0 -0.5 -0.5  1.0  0.5 -0.5 -1.0 -0.5  0.5



kpoint  L : 0.500000 0.000000 0.500000 :  1 2
-L2L2  2 -2.0  0.0  0.0



kpoint  M : 0.500000 0.000000 0.000000 :  1 2
-M2  1 -1.0 -1.0  1.0
