SG=<i>P</i>-61'
 name=174.134
 spinor=False
symmetries=
    1 0 0 0 1 0 0 0 1    0 0 0                                 1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
  0 -1 0 1 -1 0 0 0 1    0 0 0   1.0 0.0 0.0 1.0    0.3333333333333333 0.0 0.0 0.6666666666666667
  -1 1 0 -1 0 0 0 0 1    0 0 0   1.0 0.0 0.0 1.0    0.6666666666666667 0.0 0.0 0.3333333333333333
   1 0 0 0 1 0 0 0 -1    0 0 0                                1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5
 0 -1 0 1 -1 0 0 0 -1    0 0 0  1.0 0.0 0.0 1.0    0.8333333333333334 0.0 0.0 0.16666666666666669
 -1 1 0 -1 0 0 0 0 -1    0 0 0  1.0 0.0 0.0 1.0    0.16666666666666669 0.0 0.0 0.8333333333333334
    1 0 0 0 1 0 0 0 1    0 0 0                                 1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
  0 -1 0 1 -1 0 0 0 1    0 0 0   1.0 0.0 0.0 1.0    0.3333333333333333 0.0 0.0 0.6666666666666667
  -1 1 0 -1 0 0 0 0 1    0 0 0   1.0 0.0 0.0 1.0    0.6666666666666667 0.0 0.0 0.3333333333333333
   1 0 0 0 1 0 0 0 -1    0 0 0                                1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5
 0 -1 0 1 -1 0 0 0 -1    0 0 0  1.0 0.0 0.0 1.0    0.8333333333333334 0.0 0.0 0.16666666666666669
 -1 1 0 -1 0 0 0 0 -1    0 0 0  1.0 0.0 0.0 1.0    0.16666666666666669 0.0 0.0 0.8333333333333334


kpoint  GM : 0.000000 0.000000 0.000000 :  1 2 3 4 5 6 7 8 9 10 11 12
-GM1     1  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0
-GM2     1  1.0  1.0 -1.0 -1.0 -1.0  1.0  1.0  1.0 -1.0 -1.0 -1.0  1.0  1.0  1.0 -1.0 -1.0 -1.0  1.0  1.0  1.0 -1.0 -1.0 -1.0
-GM3GM5  2 -1.0 -1.0  2.0 -1.0 -1.0  2.0 -1.0 -1.0  2.0 -1.0 -1.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
-GM4GM6  2 -1.0 -1.0 -2.0  1.0  1.0  2.0 -1.0 -1.0 -2.0  1.0  1.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0



kpoint  A : 0.000000 0.000000 0.500000 :  1 2 3 4 5 6 7 8 9 10 11 12
-A1    1  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0
-A2    1  1.0  1.0 -1.0 -1.0 -1.0  1.0  1.0  1.0 -1.0 -1.0 -1.0  1.0  1.0  1.0 -1.0 -1.0 -1.0  1.0  1.0  1.0 -1.0 -1.0 -1.0
-A3A5  2 -1.0 -1.0  2.0 -1.0 -1.0  2.0 -1.0 -1.0  2.0 -1.0 -1.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
-A4A6  2 -1.0 -1.0 -2.0  1.0  1.0  2.0 -1.0 -1.0 -2.0  1.0  1.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0



kpoint  H : 0.333333 0.333333 0.500000 :  1 2 3 4 5 6
-H1  1  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0
-H2  1  1.0  1.0 -1.0 -1.0 -1.0  1.0  1.0  1.0 -1.0 -1.0 -1.0
-H3  1 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5
-H4  1 -0.5 -0.5 -1.0  0.5  0.5  1.0 -0.5 -0.5 -1.0  0.5  0.5
-H5  1 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5
-H6  1 -0.5 -0.5 -1.0  0.5  0.5  1.0 -0.5 -0.5 -1.0  0.5  0.5



kpoint  HA : 0.666667 0.666667 0.500000 :  1 2 3 4 5 6
-HA1  1  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0
-HA2  1  1.0  1.0 -1.0 -1.0 -1.0  1.0  1.0  1.0 -1.0 -1.0 -1.0
-HA3  1 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5
-HA4  1 -0.5 -0.5 -1.0  0.5  0.5  1.0 -0.5 -0.5 -1.0  0.5  0.5
-HA5  1 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5
-HA6  1 -0.5 -0.5 -1.0  0.5  0.5  1.0 -0.5 -0.5 -1.0  0.5  0.5



kpoint  K : 0.333333 0.333333 0.000000 :  1 2 3 4 5 6
-K1  1  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0
-K2  1  1.0  1.0 -1.0 -1.0 -1.0  1.0  1.0  1.0 -1.0 -1.0 -1.0
-K3  1 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5
-K4  1 -0.5 -0.5 -1.0  0.5  0.5  1.0 -0.5 -0.5 -1.0  0.5  0.5
-K5  1 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5
-K6  1 -0.5 -0.5 -1.0  0.5  0.5  1.0 -0.5 -0.5 -1.0  0.5  0.5



kpoint  KA : 0.666667 0.666667 0.000000 :  1 2 3 4 5 6
-KA1  1  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0
-KA2  1  1.0  1.0 -1.0 -1.0 -1.0  1.0  1.0  1.0 -1.0 -1.0 -1.0
-KA3  1 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5
-KA4  1 -0.5 -0.5 -1.0  0.5  0.5  1.0 -0.5 -0.5 -1.0  0.5  0.5
-KA5  1 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5
-KA6  1 -0.5 -0.5 -1.0  0.5  0.5  1.0 -0.5 -0.5 -1.0  0.5  0.5



kpoint  L : 0.500000 0.000000 0.500000 :  1 2 3 4
-L1  1  1.0  1.0  1.0  1.0  1.0  1.0  1.0
-L2  1 -1.0  1.0 -1.0  1.0 -1.0  1.0 -1.0



kpoint  M : 0.500000 0.000000 0.000000 :  1 2 3 4
-M1  1  1.0  1.0  1.0  1.0  1.0  1.0  1.0
-M2  1 -1.0  1.0 -1.0  1.0 -1.0  1.0 -1.0
