SG=<i>P</i>-62'<i>m</i>'
 name=189.225
 spinor=True
symmetries=
    1 0 0 0 1 0 0 0 1    0 0 0                                 1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
  0 -1 0 1 -1 0 0 0 1    0 0 0   1.0 0.0 0.0 1.0    0.3333333333333333 0.0 0.0 0.6666666666666667
  -1 1 0 -1 0 0 0 0 1    0 0 0   1.0 0.0 0.0 1.0    0.6666666666666667 0.0 0.0 0.3333333333333333
   1 0 0 0 1 0 0 0 -1    0 0 0                                1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5
 0 -1 0 1 -1 0 0 0 -1    0 0 0  1.0 0.0 0.0 1.0    0.8333333333333334 0.0 0.0 0.16666666666666669
 -1 1 0 -1 0 0 0 0 -1    0 0 0  1.0 0.0 0.0 1.0    0.16666666666666669 0.0 0.0 0.8333333333333334
   0 1 0 1 0 0 0 0 -1    0 0 0  0.0 1.0 1.0 0.0    0.0 -0.6666666666666667 0.6666666666666667 0.0
 1 -1 0 0 -1 0 0 0 -1    0 0 0                                 0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0
 -1 0 0 -1 1 0 0 0 -1    0 0 0   0.0 1.0 1.0 0.0    0.0 0.6666666666666667 0.3333333333333333 0.0
    0 1 0 1 0 0 0 0 1    0 0 0  0.0 1.0 1.0 0.0    0.0 0.8333333333333334 0.16666666666666669 0.0
  1 -1 0 0 -1 0 0 0 1    0 0 0                               0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0
  -1 0 0 -1 1 0 0 0 1    0 0 0  0.0 1.0 1.0 0.0    0.0 0.16666666666666669 0.8333333333333334 0.0


kpoint  GM : 0.000000 0.000000 0.000000 :  1 2 3 4 5 6 7 8 9 10 11 12
-GM10  1  0.5  0.5  0.0  0.866025  0.866025 -1.0 -0.5 -0.5  0.0 -0.866025 -0.866025  1.0  0.5 -0.5  0.0  0.866025 -0.866025 -1.0 -0.5  0.5  0.0 -0.866025  0.866025
-GM11  1  0.5  0.5  0.0  0.866025  0.866025 -1.0 -0.5 -0.5  0.0 -0.866025 -0.866025  1.0  0.5 -0.5  0.0  0.866025 -0.866025 -1.0 -0.5  0.5  0.0 -0.866025  0.866025
-GM12  1  0.5  0.5  0.0 -0.866025 -0.866025 -1.0 -0.5 -0.5  0.0  0.866025  0.866025  1.0  0.5 -0.5  0.0 -0.866025  0.866025 -1.0 -0.5  0.5  0.0  0.866025 -0.866025
-GM7   1 -1.0 -1.0  0.0  0.000000  0.000000 -1.0  1.0  1.0  0.0  0.000000  0.000000  1.0 -1.0  1.0  0.0  0.000000  0.000000 -1.0  1.0 -1.0  0.0  0.000000  0.000000
-GM8   1 -1.0 -1.0  0.0  0.000000  0.000000 -1.0  1.0  1.0  0.0  0.000000  0.000000  1.0 -1.0  1.0  0.0  0.000000  0.000000 -1.0  1.0 -1.0  0.0  0.000000  0.000000
-GM9   1  0.5  0.5  0.0 -0.866025 -0.866025 -1.0 -0.5 -0.5  0.0  0.866025  0.866025  1.0  0.5 -0.5  0.0 -0.866025  0.866025 -1.0 -0.5  0.5  0.0  0.866025 -0.866025



kpoint  A : 0.000000 0.000000 0.500000 :  1 2 3 4 5 6 7 8 9 10 11 12
-A10  1  0.5  0.5  0.0  0.866025  0.866025 -1.0 -0.5 -0.5  0.0 -0.866025 -0.866025  1.0  0.5 -0.5  0.0  0.866025 -0.866025 -1.0 -0.5  0.5  0.0 -0.866025  0.866025
-A11  1  0.5  0.5  0.0  0.866025  0.866025 -1.0 -0.5 -0.5  0.0 -0.866025 -0.866025  1.0  0.5 -0.5  0.0  0.866025 -0.866025 -1.0 -0.5  0.5  0.0 -0.866025  0.866025
-A12  1  0.5  0.5  0.0 -0.866025 -0.866025 -1.0 -0.5 -0.5  0.0  0.866025  0.866025  1.0  0.5 -0.5  0.0 -0.866025  0.866025 -1.0 -0.5  0.5  0.0  0.866025 -0.866025
-A7   1 -1.0 -1.0  0.0  0.000000  0.000000 -1.0  1.0  1.0  0.0  0.000000  0.000000  1.0 -1.0  1.0  0.0  0.000000  0.000000 -1.0  1.0 -1.0  0.0  0.000000  0.000000
-A8   1 -1.0 -1.0  0.0  0.000000  0.000000 -1.0  1.0  1.0  0.0  0.000000  0.000000  1.0 -1.0  1.0  0.0  0.000000  0.000000 -1.0  1.0 -1.0  0.0  0.000000  0.000000
-A9   1  0.5  0.5  0.0 -0.866025 -0.866025 -1.0 -0.5 -0.5  0.0  0.866025  0.866025  1.0  0.5 -0.5  0.0 -0.866025  0.866025 -1.0 -0.5  0.5  0.0  0.866025 -0.866025



kpoint  H : 0.333333 0.333333 0.500000 :  1 2 3 4 5 6
-H10  1  0.5  0.5  0.0  0.866025  0.866025 -1.0 -0.5 -0.5  0.0 -0.866025 -0.866025
-H11  1  0.5  0.5  0.0  0.866025  0.866025 -1.0 -0.5 -0.5  0.0 -0.866025 -0.866025
-H12  1  0.5  0.5  0.0 -0.866025 -0.866025 -1.0 -0.5 -0.5  0.0  0.866025  0.866025
-H7   1 -1.0 -1.0  0.0  0.000000  0.000000 -1.0  1.0  1.0  0.0  0.000000  0.000000
-H8   1 -1.0 -1.0  0.0  0.000000  0.000000 -1.0  1.0  1.0  0.0  0.000000  0.000000
-H9   1  0.5  0.5  0.0 -0.866025 -0.866025 -1.0 -0.5 -0.5  0.0  0.866025  0.866025



kpoint  HA : 0.666667 0.666667 0.500000 :  1 2 3 4 5 6
-HA10  1  0.5  0.5  0.0  0.866025  0.866025 -1.0 -0.5 -0.5  0.0 -0.866025 -0.866025
-HA11  1  0.5  0.5  0.0  0.866025  0.866025 -1.0 -0.5 -0.5  0.0 -0.866025 -0.866025
-HA12  1  0.5  0.5  0.0 -0.866025 -0.866025 -1.0 -0.5 -0.5  0.0  0.866025  0.866025
-HA7   1 -1.0 -1.0  0.0  0.000000  0.000000 -1.0  1.0  1.0  0.0  0.000000  0.000000
-HA8   1 -1.0 -1.0  0.0  0.000000  0.000000 -1.0  1.0  1.0  0.0  0.000000  0.000000
-HA9   1  0.5  0.5  0.0 -0.866025 -0.866025 -1.0 -0.5 -0.5  0.0  0.866025  0.866025



kpoint  K : 0.333333 0.333333 0.000000 :  1 2 3 4 5 6
-K10  1  0.5  0.5  0.0  0.866025  0.866025 -1.0 -0.5 -0.5  0.0 -0.866025 -0.866025
-K11  1  0.5  0.5  0.0  0.866025  0.866025 -1.0 -0.5 -0.5  0.0 -0.866025 -0.866025
-K12  1  0.5  0.5  0.0 -0.866025 -0.866025 -1.0 -0.5 -0.5  0.0  0.866025  0.866025
-K7   1 -1.0 -1.0  0.0  0.000000  0.000000 -1.0  1.0  1.0  0.0  0.000000  0.000000
-K8   1 -1.0 -1.0  0.0  0.000000  0.000000 -1.0  1.0  1.0  0.0  0.000000  0.000000
-K9   1  0.5  0.5  0.0 -0.866025 -0.866025 -1.0 -0.5 -0.5  0.0  0.866025  0.866025



kpoint  KA : 0.666667 0.666667 0.000000 :  1 2 3 4 5 6
-KA10  1  0.5  0.5  0.0  0.866025  0.866025 -1.0 -0.5 -0.5  0.0 -0.866025 -0.866025
-KA11  1  0.5  0.5  0.0  0.866025  0.866025 -1.0 -0.5 -0.5  0.0 -0.866025 -0.866025
-KA12  1  0.5  0.5  0.0 -0.866025 -0.866025 -1.0 -0.5 -0.5  0.0  0.866025  0.866025
-KA7   1 -1.0 -1.0  0.0  0.000000  0.000000 -1.0  1.0  1.0  0.0  0.000000  0.000000
-KA8   1 -1.0 -1.0  0.0  0.000000  0.000000 -1.0  1.0  1.0  0.0  0.000000  0.000000
-KA9   1  0.5  0.5  0.0 -0.866025 -0.866025 -1.0 -0.5 -0.5  0.0  0.866025  0.866025



kpoint  L : 0.500000 0.000000 0.500000 :  1 2 3 4
-L3  1  0.0 -1.0  0.0 -1.0  0.0  1.0  0.0
-L4  1  0.0 -1.0  0.0 -1.0  0.0  1.0  0.0



kpoint  M : 0.500000 0.000000 0.000000 :  1 2 3 4
-M3  1  0.0 -1.0  0.0 -1.0  0.0  1.0  0.0
-M4  1  0.0 -1.0  0.0 -1.0  0.0  1.0  0.0
