SG=<i>I</i>2'2'2
 name=23.51
 spinor=False
symmetries=
   1 0 0   0 1 0   0 0 1   0 0 0
 -1 0 0   0 -1 0   0 0 1   0 0 0


kpoint  GM : 0.000000 0.000000 0.000000 :  1 2
-GM1  1   1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
-GM2  1   1.000 1.000 -1.000 1.000 -1.000 1.000 -1.000 1.000 -1.000 0.000 0.000 -1.000 0.000 -1.000 0.000 -1.000 0.000 -1.000



kpoint  R : 0.500000 0.000000 0.500000 ; L  :  -0.5 -0.5 0.5 :  1
-(R)L1  1   1.000 1.000 1.000 1.000 1.000



kpoint  S : 0.000000 0.500000 0.500000 ; V  :  -0.5 -0.5 0.0 :  1
-(S)V1  1   1.000 1.000 1.000 -0.000 -0.000 0.000 0.000 0.000 -0.500 -0.500



kpoint  T : 0.000000 0.000000 0.500000 ; M  :  0.0 1.0 0.5 :  1 2
-(T)M1  1   1.000 1.000 1.000 1.000 1.000
-(T)M2  1   1.000 1.000 -1.000 1.000 -1.000 0.000 0.000 -1.000 0.000 -1.000



kpoint  TA : 0.500000 0.500000 0.000000 ; A  :  -1.0 1.0 0.5 :  1 2
-(TA)A1  1   1.000 1.000 1.000 1.000 1.000
-(TA)A2  1   1.000 1.000 -1.000 1.000 -1.000 0.000 0.000 -1.000 0.000 -1.000



kpoint  W : 0.250000 0.250000 0.250000 ; U  :  0.0 0.5 0.5 :  1 2
-(W)U1  1   1.000 1.000 1.000 1.000 1.000
-(W)U2  1   1.000 1.000 -1.000 1.000 -1.000 0.000 0.000 -1.000 0.000 -1.000



kpoint  WA : 0.750000 0.750000 0.750000 ; UA  :  -1.0 0.5 0.5 :  1 2
-(WA)UA1  1   1.000 1.000 1.000 1.000 1.000
-(WA)UA2  1   1.000 1.000 -1.000 1.000 -1.000 0.000 0.000 -1.000 0.000 -1.000



kpoint  X : 0.500000 0.500000 0.500000 ; Y  :  2.0 -1.0 -1.0 :  1 2
-(X)Y1  1   1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
-(X)Y2  1   1.000 1.000 -1.000 1.000 -1.000 1.000 -1.000 1.000 -1.000 0.000 0.000 -1.000 0.000 -1.000 0.000 -1.000 0.000 -1.000
