SG=<i>P</i><i>m</i><i>n</i>'2<sub>1</sub>'
 name=31.126
 spinor=False
symmetries=
  1 0 0   0 1 0   0 0 1   0 0 0
 -1 0 0   0 1 0   0 0 1   0 0 0


kpoint  GM : 0.000000 0.000000 0.000000 :  1 2
-GM1  1   1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
-GM2  1   1.000 1.000 -1.000 1.000 -1.000 1.000 -1.000 1.000 -1.000 0.000 0.000 -1.000 0.000 -1.000 0.000 -1.000 0.000 -1.000



kpoint  R : 0.500000 0.500000 0.500000 ; E  :  -0.5 0.5 0.5 :  1 2
-(R)E1E2  2   2.000 2.000 0.000 2.000 0.000 0.000 0.000 0.000 0.000



kpoint  S : 0.500000 0.500000 0.000000 ; C  :  -0.5 0.5 0.0 :  1 2
-(S)C1C2  2   2.000 2.000 0.000 2.000 0.000 0.000 0.000 0.000 0.000



kpoint  T : 0.000000 0.500000 0.500000 ; A  :  -0.5 0.0 0.5 :  1 2
-(T)A1A1  2   2.000 2.000 2.000 2.000 2.000 0.000 0.000 0.000 0.000
-(T)A2A2  2   2.000 2.000 -2.000 2.000 -2.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 0.000 -1.000 0.000 0.000 0.000 0.000



kpoint  U : 0.500000 0.000000 0.500000 ; D  :  0.0 0.5 0.5 :  1 2
-(U)D1D2  2   2.000 2.000 0.000 2.000 0.000 0.000 0.000 0.000 0.000



kpoint  X : 0.500000 0.000000 0.000000 ; Z  :  0.0 0.5 0.0 :  1 2
-(X)Z1Z2  2   2.000 2.000 0.000 2.000 0.000 0.000 0.000 0.000 0.000



kpoint  Y : 0.000000 0.500000 0.000000 ; Y  :  -0.5 0.0 0.0 :  1 2
-Y1  1   1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
-Y2  1   1.000 1.000 -1.000 1.000 -1.000 1.000 -1.000 1.000 -1.000 0.000 0.000 -1.000 0.000 -1.000 0.000 -1.000 0.000 -1.000



kpoint  Z : 0.000000 0.000000 0.500000 ; B  :  0.0 0.0 0.5 :  1 2
-(Z)B1B1  2   2.000 2.000 2.000 2.000 2.000 0.000 0.000 0.000 0.000
-(Z)B2B2  2   2.000 2.000 -2.000 2.000 -2.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 0.000 -1.000 0.000 0.000 0.000 0.000
