SG=<i>P</i><i>n</i>'<i>n</i>2'
 name=34.158
 spinor=False
symmetries=
                    1 0 0   0 1 0   0 0 1   0 0 0
 1 0 0   0 -1 0   0 0 1   0.50000 0.50000 0.50000


kpoint  GM : 0.000000 0.000000 0.000000 :  1 2
-GM1  1   1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
-GM2  1   1.000 1.000 -1.000 1.000 -1.000 1.000 -1.000 1.000 -1.000 0.000 0.000 -1.000 0.000 -1.000 0.000 -1.000 0.000 -1.000



kpoint  R : 0.500000 0.500000 0.500000 ; C  :  0.5 0.5 1.0 :  1 2
-(R)C1  1   1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
-(R)C2  1   1.000 1.000 -1.000 1.000 -1.000 1.000 -1.000 1.000 -1.000 0.000 0.000 -1.000 0.000 -1.000 0.000 -1.000 0.000 -1.000



kpoint  S : 0.500000 0.500000 0.000000 ; E  :  0.5 0.5 0.5 :  1 2
-(S)E1E2  2   2.000 2.000 0.000 2.000 0.000 0.000 0.000 0.000 0.000



kpoint  T : 0.000000 0.500000 0.500000 ; D  :  0.0 0.5 0.5 :  1 2
-(T)D1  1   1.000 1.000 -0.000 1.000 -0.000 1.000 -0.000 1.000 -0.000 0.000 0.000 0.500 0.000 0.500 0.000 0.500 0.000 0.500
-(T)D2  1   1.000 1.000 -0.000 1.000 -0.000 1.000 -0.000 1.000 -0.000 0.000 0.000 -0.500 0.000 -0.500 0.000 -0.500 0.000 -0.500



kpoint  U : 0.500000 0.000000 0.500000 ; Y  :  0.5 0.0 1.0 :  1 2
-(U)Y1Y2  2   2.000 2.000 0.000 2.000 0.000 0.000 0.000 0.000 0.000



kpoint  X : 0.500000 0.000000 0.000000 ; A  :  0.5 0.0 0.5 :  1 2
-(X)A1  1   1.000 1.000 -0.000 1.000 -0.000 1.000 -0.000 1.000 -0.000 0.000 0.000 0.500 0.000 0.500 0.000 0.500 0.000 0.500
-(X)A2  1   1.000 1.000 -0.000 1.000 -0.000 1.000 -0.000 1.000 -0.000 0.000 0.000 -0.500 0.000 -0.500 0.000 -0.500 0.000 -0.500



kpoint  Y : 0.000000 0.500000 0.000000 ; Z  :  0.0 0.5 0.0 :  1 2
-(Y)Z1Z2  2   2.000 2.000 0.000 2.000 0.000 0.000 0.000 0.000 0.000



kpoint  Z : 0.000000 0.000000 0.500000 ; B  :  0.0 0.0 0.5 :  1 2
-(Z)B1B2  2   2.000 2.000 0.000 2.000 0.000 0.000 0.000 0.000 0.000
