SG=<i>A</i><i>b</i>'<i>a</i>2'
 name=41.213
 spinor=True
symmetries=
              1 0 0   0 1 0   0 0 1   0 0 0  1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
 1 0 0   0 -1 0   0 0 1   0.50000 0 0.50000  0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0


kpoint  GM : 0.000000 0.000000 0.000000 :  1 2
-GM3  1   1.000 1.000 -0.000 -1.000 -0.000 1.000 -0.000 -1.000 -0.000 0.000 0.000 -0.500 -1.000 0.500 0.000 -0.500 -1.000 0.500
-GM4  1   1.000 1.000 -0.000 -1.000 -0.000 1.000 -0.000 -1.000 -0.000 0.000 0.000 0.500 -1.000 -0.500 0.000 0.500 -1.000 -0.500



kpoint  R : 0.500000 0.500000 0.000000 ; L  :  -0.5 -0.5 0.5 :  1
-(R)L2L2  2   2.000 2.000 -2.000 0.000 0.000 0.000 0.000 -1.000 0.000 0.000



kpoint  S : 0.000000 0.500000 0.000000 ; V  :  -0.5 -0.5 0.0 :  1
-(S)V2V2  2   2.000 2.000 -2.000 0.000 0.000 0.000 0.000 -1.000 0.000 0.000



kpoint  T : 0.500000 0.500000 0.500000 ; M  :  -1.0 0.0 -0.5 :  1 2
-(T)M3  1   1.000 1.000 1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000 0.000 0.000 0.000 -1.000 -1.000 0.000 0.000 -1.000 -1.000
-(T)M4  1   1.000 1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000 1.000 0.000 0.000 -1.000 -1.000 0.000 0.000 -1.000 -1.000 0.000



kpoint  Y : 0.000000 0.500000 0.500000 ; Y  :  -1.0 0.0 0.0 :  1 2
-Y3  1   1.000 1.000 -0.000 -1.000 -0.000 1.000 -0.000 -1.000 -0.000 0.000 0.000 0.500 -1.000 -0.500 0.000 0.500 -1.000 -0.500
-Y4  1   1.000 1.000 -0.000 -1.000 -0.000 1.000 -0.000 -1.000 -0.000 0.000 0.000 -0.500 -1.000 0.500 0.000 -0.500 -1.000 0.500



kpoint  Z : 0.500000 0.000000 0.000000 ; A  :  0.0 0.0 -0.5 :  1 2
-(Z)A3  1   1.000 1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000 1.000 0.000 0.000 -1.000 -1.000 0.000 0.000 -1.000 -1.000 0.000
-(Z)A4  1   1.000 1.000 1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000 0.000 0.000 0.000 -1.000 -1.000 0.000 0.000 -1.000 -1.000
