SG=Fm'm'2
 name=42.222
 spinor=False
symmetries=
   1 0 0   0 1 0   0 0 1   0 0 0
 -1 0 0   0 -1 0   0 0 1   0 0 0


kpoint  GM : 0.000000 0.000000 0.000000 :  1 2
GM1  1   1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
GM2  1   1.000 1.000 -1.000 1.000 -1.000 1.000 -1.000 1.000 -1.000 0.000 0.000 -1.000 0.000 -1.000 0.000 -1.000 0.000 -1.000



kpoint  L : 0.000000 0.000000 0.500000 ; V  :  0.5 0.5 0.0 :  1
(L)V1  1   1.000 1.000 1.000



kpoint  LA : 0.500000 0.000000 0.000000 ; L  :  -0.5 -0.5 0.5 :  1
(LA)L1  1   1.000 1.000 1.000



kpoint  T : 0.000000 0.500000 0.500000 ; M  :  1.0 0.0 -0.5 :  1 2
(T)M1  1   1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
(T)M2  1   1.000 1.000 -1.000 1.000 -1.000 1.000 -1.000 1.000 -1.000 0.000 0.000 -1.000 0.000 -1.000 0.000 -1.000 0.000 -1.000



kpoint  Y : 0.500000 0.000000 0.500000 ; A  :  0.0 0.0 0.5 :  1 2
(Y)A1  1   1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
(Y)A2  1   1.000 1.000 -1.000 1.000 -1.000 1.000 -1.000 1.000 -1.000 0.000 0.000 -1.000 0.000 -1.000 0.000 -1.000 0.000 -1.000



kpoint  Z : 0.500000 0.500000 0.000000 ; Y  :  0.0 -1.0 0.0 :  1 2
(Z)Y1  1   1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
(Z)Y2  1   1.000 1.000 -1.000 1.000 -1.000 1.000 -1.000 1.000 -1.000 0.000 0.000 -1.000 0.000 -1.000 0.000 -1.000 0.000 -1.000
