SG=<i>P</i><sub><i>a</i></sub><i>m</i><i>n</i><i>a</i>
 name=53.330
 spinor=True
symmetries=
       1 0 0 0 1 0 0 0 1    0 0 0    1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
 -1 0 0 0 -1 0 0 0 1    1/2 0 1/2   1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5
 -1 0 0 0 1 0 0 0 -1    1/2 0 1/2    0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0
     1 0 0 0 -1 0 0 0 -1    0 0 0  0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0
    -1 0 0 0 -1 0 0 0 -1    0 0 0    1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
  1 0 0 0 1 0 0 0 -1    1/2 0 1/2   1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5
  1 0 0 0 -1 0 0 0 1    1/2 0 1/2    0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0
      -1 0 0 0 1 0 0 0 1    0 0 0  0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0
     1 0 0 0 1 0 0 0 1    1/2 0 0    1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
   -1 0 0 0 -1 0 0 0 1    0 0 1/2   1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5
   -1 0 0 0 1 0 0 0 -1    0 0 1/2    0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0
   1 0 0 0 -1 0 0 0 -1    1/2 0 0  0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0
  -1 0 0 0 -1 0 0 0 -1    1/2 0 0    1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
    1 0 0 0 1 0 0 0 -1    0 0 1/2   1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5
    1 0 0 0 -1 0 0 0 1    0 0 1/2    0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0
    -1 0 0 0 1 0 0 0 1    1/2 0 0  0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0


kpoint  GM : 0.000000 0.000000 0.000000 :  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
-GM5  2  0.0  0.0  0.0  2.0  0.0  0.0  0.0 -2.0  0.0  0.0  0.0 -2.0  0.0  0.0  0.0  0.0  2.0  0.0  0.0  0.0  2.0  0.0  0.0  0.0 -2.0  0.0  0.0  0.0 -2.0  0.0  0.0



kpoint  R : 0.500000 0.500000 0.500000 :  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
-R2R9  2  0.0  0.0  0.0  0.0  2.0  0.0  0.0 -2.0  0.0  0.0  0.0  0.0 -2.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
-R3R8  2  0.0  0.0  0.0  0.0 -2.0  0.0  0.0 -2.0  0.0  0.0  0.0  0.0  2.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
-R4R7  2  0.0  0.0  0.0  0.0  2.0  0.0  0.0 -2.0  0.0  0.0  0.0  0.0 -2.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
-R5R6  2  0.0  0.0  0.0  0.0 -2.0  0.0  0.0 -2.0  0.0  0.0  0.0  0.0  2.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0



kpoint  S : 0.500000 0.500000 0.000000 :  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
-S3  2  0.0  0.0  0.0  0.0  0.0  0.0  0.0 -2.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  2.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 -2.0  0.0  0.0
-S4  2  0.0  0.0  0.0  0.0  0.0  0.0  0.0 -2.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  2.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 -2.0  0.0  0.0



kpoint  T : 0.000000 0.500000 0.500000 :  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
-T3T4  4  0.0  0.0  0.0  0.0  0.0  0.0  0.0 -4.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0



