SG=P_I4_2/mnm
 name=136.506
 nsym=16
 spinor=False
symmetries=
                     1 0 0   0 1 0   0 0 1   0 0 0
                   -1 0 0   0 -1 0   0 0 1   0 0 0
  0 -1 0   1 0 0   0 0 1   0.50000 0.50000 0.50000
  0 1 0   -1 0 0   0 0 1   0.50000 0.50000 0.50000
 -1 0 0   0 1 0   0 0 -1   0.50000 0.50000 0.50000
 1 0 0   0 -1 0   0 0 -1   0.50000 0.50000 0.50000
                    0 1 0   1 0 0   0 0 -1   0 0 0
                  0 -1 0   -1 0 0   0 0 -1   0 0 0
                  -1 0 0   0 -1 0   0 0 -1   0 0 0
                    1 0 0   0 1 0   0 0 -1   0 0 0
 0 1 0   -1 0 0   0 0 -1   0.50000 0.50000 0.50000
 0 -1 0   1 0 0   0 0 -1   0.50000 0.50000 0.50000
  1 0 0   0 -1 0   0 0 1   0.50000 0.50000 0.50000
  -1 0 0   0 1 0   0 0 1   0.50000 0.50000 0.50000
                   0 -1 0   -1 0 0   0 0 1   0 0 0
                     0 1 0   1 0 0   0 0 1   0 0 0


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
GM1+  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
GM1-  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
GM2+  1    1.000 1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000
GM2-  1    1.000 1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000 1.000 1.000 1.000 1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000
GM3+  1    1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000
GM3-  1    1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000
GM4+  1    1.000 1.000 -1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000 1.000 1.000
GM4-  1    1.000 1.000 -1.000 -1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000 1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000 1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000 1.000 1.000
GM5+  2    2.000 -2.000 0.000 0.000 0.000 0.000 0.000 0.000 2.000 -2.000 0.000 0.000 0.000 0.000 0.000 0.000 2.000 -2.000 0.000 0.000 0.000 0.000 0.000 0.000 2.000 -2.000 0.000 0.000 0.000 0.000 0.000 0.000
GM5-  2    2.000 -2.000 0.000 0.000 0.000 0.000 0.000 0.000 -2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 -2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 2.000 -2.000 0.000 0.000 0.000 0.000 0.000 0.000



 kpoint  A : 0.500000 0.500000 0.500000  : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
A1  2    2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 2.000 2.000 0.000 0.000 0.000 0.000 2.000 2.000 0.000 0.000 0.000 0.000 2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -0.500 -0.500 0.000 0.000 0.000 0.000 -0.500 -0.500 0.000 0.000 0.000 0.000
A2  2    2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 2.000 2.000 0.000 0.000 0.000 0.000 2.000 2.000 0.000 0.000 0.000 0.000 2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 -1.000 0.000 0.000 0.000 0.000 0.500 0.500 0.000 0.000 0.000 0.000 -0.500 -0.500 0.000 0.000 0.000 0.000
A3A4  4    4.000 -4.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000



 kpoint  M : 0.500000 0.500000 0.000000  : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
M1+  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.500 0.500 0.500 0.500 0.000 0.000 0.000 0.000 0.500 0.500 0.500 0.500 0.000 0.000 0.000 0.000 -0.500 -0.500 -0.500 -0.500 0.000 0.000 0.000 0.000 -0.500 -0.500 -0.500 -0.500 0.000 0.000
M1-  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.500 0.500 0.500 0.500 0.000 0.000 -1.000 -1.000 -0.500 -0.500 -0.500 -0.500 -1.000 -1.000 -1.000 -1.000 0.500 0.500 0.500 0.500 -1.000 -1.000 0.000 0.000 -0.500 -0.500 -0.500 -0.500 0.000 0.000
M2+  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000 -0.500 -0.500 0.500 0.500 -1.000 -1.000 0.000 0.000 -0.500 -0.500 0.500 0.500 -1.000 -1.000 0.000 0.000 0.500 0.500 -0.500 -0.500 -1.000 -1.000 0.000 0.000 0.500 0.500 -0.500 -0.500 -1.000 -1.000
M2-  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000 -0.500 -0.500 0.500 0.500 -1.000 -1.000 -1.000 -1.000 0.500 0.500 -0.500 -0.500 0.000 0.000 -1.000 -1.000 -0.500 -0.500 0.500 0.500 0.000 0.000 0.000 0.000 0.500 0.500 -0.500 -0.500 -1.000 -1.000
M3+  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.500 0.500 -0.500 -0.500 -1.000 -1.000 0.000 0.000 0.500 0.500 -0.500 -0.500 -1.000 -1.000 0.000 0.000 -0.500 -0.500 0.500 0.500 -1.000 -1.000 0.000 0.000 -0.500 -0.500 0.500 0.500 -1.000 -1.000
M3-  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.500 0.500 -0.500 -0.500 -1.000 -1.000 -1.000 -1.000 -0.500 -0.500 0.500 0.500 0.000 0.000 -1.000 -1.000 0.500 0.500 -0.500 -0.500 0.000 0.000 0.000 0.000 -0.500 -0.500 0.500 0.500 -1.000 -1.000
M4+  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000 -0.500 -0.500 -0.500 -0.500 0.000 0.000 0.000 0.000 -0.500 -0.500 -0.500 -0.500 0.000 0.000 0.000 0.000 0.500 0.500 0.500 0.500 0.000 0.000 0.000 0.000 0.500 0.500 0.500 0.500 0.000 0.000
M4-  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000 -0.500 -0.500 -0.500 -0.500 0.000 0.000 -1.000 -1.000 0.500 0.500 0.500 0.500 -1.000 -1.000 -1.000 -1.000 -0.500 -0.500 -0.500 -0.500 -1.000 -1.000 0.000 0.000 0.500 0.500 0.500 0.500 0.000 0.000
M5+  2    2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 2.000 2.000 0.000 -1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -0.500 0.500 0.000 0.000 0.000 0.000 0.000 0.000 -0.500 0.500
M5-  2    2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 2.000 2.000 0.000 -1.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.500 -0.500 0.000 0.000 0.000 0.000 0.000 0.000 -0.500 0.500



 kpoint  R : 0.000000 0.500000 0.500000  : 1 2 5 6 9 10 13 14
R1+  2    2.000 0.000 0.000 0.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 2.000 0.000 0.000 0.000 2.000
R1-  2    2.000 0.000 0.000 0.000 -2.000 0.000 0.000 0.000 0.000 0.000 0.000 -2.000 0.000 0.000 0.000 2.000



 kpoint  X : 0.000000 0.500000 0.000000  : 1 2 5 6 9 10 13 14
X1  2    2.000 0.000 0.000 0.000 0.000 -2.000 0.000 0.000 0.000 0.000 -2.000 0.000 0.000 0.000 0.000 2.000
X2  2    2.000 0.000 0.000 0.000 0.000 2.000 0.000 0.000 0.000 0.000 2.000 0.000 0.000 0.000 0.000 2.000



 kpoint  Z : 0.000000 0.000000 0.500000  : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
Z1  2    2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 2.000 2.000 0.000 0.000 2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -0.500 -0.500 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -0.500 -0.500 0.000 0.000
Z2  2    2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 2.000 2.000 0.000 0.000 2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 -1.000 0.000 0.000 -0.500 -0.500 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.500 0.500 0.000 0.000
Z3Z4  4    4.000 -4.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
