SG=I4_1/acd
 name=142.561
 nsym=16
 spinor=False
symmetries=
                      1 0 0   0 1 0   0 0 1   0 0 0
              -1 0 0   0 -1 0   0 0 1   0 0.50000 0
   0 -1 0   1 0 0   0 0 1   0.25000 0.75000 0.25000
   0 1 0   -1 0 0   0 0 1   0.25000 0.25000 0.75000
              -1 0 0   0 1 0   0 0 -1   0.50000 0 0
              1 0 0   0 -1 0   0 0 -1   0 0 0.50000
   0 1 0   1 0 0   0 0 -1   0.75000 0.25000 0.25000
 0 -1 0   -1 0 0   0 0 -1   0.25000 0.25000 0.25000
                   -1 0 0   0 -1 0   0 0 -1   0 0 0
               1 0 0   0 1 0   0 0 -1   0 0.50000 0
  0 1 0   -1 0 0   0 0 -1   0.25000 0.75000 0.25000
  0 -1 0   1 0 0   0 0 -1   0.25000 0.25000 0.75000
               1 0 0   0 -1 0   0 0 1   0.50000 0 0
               -1 0 0   0 1 0   0 0 1   0 0 0.50000
  0 -1 0   -1 0 0   0 0 1   0.75000 0.25000 0.25000
    0 1 0   1 0 0   0 0 1   0.25000 0.25000 0.25000


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
GM1+  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
GM1-  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000
GM2+  1    1.000 1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000
GM2-  1    1.000 1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000 1.000 1.000
GM3+  1    1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000
GM3-  1    1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000 1.000
GM4+  1    1.000 1.000 -1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000 1.000 1.000
GM4-  1    1.000 1.000 -1.000 -1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000 1.000 1.000 1.000 1.000 -1.000 -1.000
GM5+  2    2.000 -2.000 0.000 0.000 0.000 0.000 0.000 0.000 2.000 -2.000 0.000 0.000 0.000 0.000 0.000 0.000
GM5-  2    2.000 -2.000 0.000 0.000 0.000 0.000 0.000 0.000 -2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000



 kpoint  M : 0.500000 0.500000 0.500000  : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
M1  2    2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -2.000 2.000 0.000 0.000
M2  2    2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 2.000 -2.000 0.000 0.000
M3  2    2.000 -2.000 0.000 0.000 -2.000 -2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
M4  2    2.000 -2.000 0.000 0.000 2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000



 kpoint  N : 0.000000 0.500000 0.000000  : 1 5 9 13
N1  2    2.000 0.000 0.000 0.000



 kpoint  P : 0.250000 0.250000 0.250000  : 1 2 3 4 5 6 9 11 12 15 16
P1  2    2.000 0.000 0.000 0.000 1.414 1.414 0.000 0.000 0.000 0.000 0.000 0.000 -0.250 0.750 0.000 0.000
P2  2    2.000 0.000 0.000 0.000 1.414 1.414 0.000 0.000 0.000 0.000 0.000 0.000 0.750 -0.250 0.000 0.000



 kpoint  X : 0.000000 0.000000 0.500000  : 1 2 7 8 9 10 15 16
X1  2    2.000 0.000 -2.000 0.000 0.000 0.000 0.000 0.000
X2  2    2.000 0.000 2.000 0.000 0.000 0.000 0.000 0.000
