SG=P6/m
 name=175.137
 nsym=12
 spinor=True
symmetries=
    1 0 0   0 1 0   0 0 1   0 0 0                                 1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
  0 -1 0   1 -1 0   0 0 1   0 0 0   1.0 0.0 0.0 1.0    0.3333333333333333 0.0 0.0 0.6666666666666667
  -1 1 0   -1 0 0   0 0 1   0 0 0   1.0 0.0 0.0 1.0    0.6666666666666667 0.0 0.0 0.3333333333333333
  -1 0 0   0 -1 0   0 0 1   0 0 0                                1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5
   0 1 0   -1 1 0   0 0 1   0 0 0  1.0 0.0 0.0 1.0    0.8333333333333334 0.0 0.0 0.16666666666666669
   1 -1 0   1 0 0   0 0 1   0 0 0  1.0 0.0 0.0 1.0    0.16666666666666669 0.0 0.0 0.8333333333333334
 -1 0 0   0 -1 0   0 0 -1   0 0 0                                 1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
  0 1 0   -1 1 0   0 0 -1   0 0 0   1.0 0.0 0.0 1.0    0.3333333333333333 0.0 0.0 0.6666666666666667
  1 -1 0   1 0 0   0 0 -1   0 0 0   1.0 0.0 0.0 1.0    0.6666666666666667 0.0 0.0 0.3333333333333333
   1 0 0   0 1 0   0 0 -1   0 0 0                                1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5
 0 -1 0   1 -1 0   0 0 -1   0 0 0  1.0 0.0 0.0 1.0    0.8333333333333334 0.0 0.0 0.16666666666666669
 -1 1 0   -1 0 0   0 0 -1   0 0 0  1.0 0.0 0.0 1.0    0.16666666666666669 0.0 0.0 0.8333333333333334


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4 5 6 7 8 9 10 11 12
-GM10  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.333 0.333 0.500 0.167 -0.167 0.000 -0.333 0.333 0.500 0.167 -0.167
-GM11  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.333 -0.333 -0.500 -0.167 0.167 0.000 0.333 -0.333 -0.500 -0.167 0.167
-GM12  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.333 -0.333 0.500 0.833 -0.833 0.000 0.333 -0.333 0.500 0.833 -0.833
-GM13  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -1.000 -1.000 -0.500 0.500 -0.500 -1.000 0.000 0.000 0.500 -0.500 0.500
-GM14  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -1.000 -1.000 0.500 -0.500 0.500 -1.000 0.000 0.000 -0.500 0.500 -0.500
-GM15  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.333 0.333 -0.500 -0.833 0.833 -1.000 0.667 -0.667 0.500 0.167 -0.167
-GM16  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.333 0.333 0.500 0.167 -0.167 -1.000 0.667 -0.667 -0.500 -0.833 0.833
-GM17  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.333 -0.333 -0.500 -0.167 0.167 -1.000 -0.667 0.667 0.500 0.833 -0.833
-GM18  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.333 -0.333 0.500 0.833 -0.833 -1.000 -0.667 0.667 -0.500 -0.167 0.167
-GM7  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -1.000 -1.000 -0.500 0.500 -0.500 0.000 -1.000 -1.000 -0.500 0.500 -0.500
-GM8  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -1.000 -1.000 0.500 -0.500 0.500 0.000 -1.000 -1.000 0.500 -0.500 0.500
-GM9  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.333 0.333 -0.500 -0.833 0.833 0.000 -0.333 0.333 -0.500 -0.833 0.833



 kpoint  A : 0.000000 0.000000 0.500000  : 1 2 3 4 5 6 7 8 9 10 11 12
-A10  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.333 0.333 0.500 0.167 -0.167 0.000 -0.333 0.333 0.500 0.167 -0.167
-A11  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.333 -0.333 -0.500 -0.167 0.167 0.000 0.333 -0.333 -0.500 -0.167 0.167
-A12  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.333 -0.333 0.500 0.833 -0.833 0.000 0.333 -0.333 0.500 0.833 -0.833
-A13  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -1.000 -1.000 -0.500 0.500 -0.500 -1.000 0.000 0.000 0.500 -0.500 0.500
-A14  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -1.000 -1.000 0.500 -0.500 0.500 -1.000 0.000 0.000 -0.500 0.500 -0.500
-A15  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.333 0.333 -0.500 -0.833 0.833 -1.000 0.667 -0.667 0.500 0.167 -0.167
-A16  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.333 0.333 0.500 0.167 -0.167 -1.000 0.667 -0.667 -0.500 -0.833 0.833
-A17  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.333 -0.333 -0.500 -0.167 0.167 -1.000 -0.667 0.667 0.500 0.833 -0.833
-A18  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.333 -0.333 0.500 0.833 -0.833 -1.000 -0.667 0.667 -0.500 -0.167 0.167
