SG=P6_3mc1'
 name=186.204
 nsym=12
 spinor=False
symmetries=
         1 0 0   0 1 0   0 0 1   0 0 0
       0 -1 0   1 -1 0   0 0 1   0 0 0
       -1 1 0   -1 0 0   0 0 1   0 0 0
 -1 0 0   0 -1 0   0 0 1   0 0 0.50000
  0 1 0   -1 1 0   0 0 1   0 0 0.50000
  1 -1 0   1 0 0   0 0 1   0 0 0.50000
       0 -1 0   -1 0 0   0 0 1   0 0 0
        -1 1 0   0 1 0   0 0 1   0 0 0
        1 0 0   1 -1 0   0 0 1   0 0 0
   0 1 0   1 0 0   0 0 1   0 0 0.50000
 1 -1 0   0 -1 0   0 0 1   0 0 0.50000
 -1 0 0   -1 1 0   0 0 1   0 0 0.50000


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4 5 6 7 8 9 10 11 12
GM1  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
GM2  1    1.000 1.000 1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000
GM3  1    1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000
GM4  1    1.000 1.000 1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000
GM5  2    2.000 1.000 1.000 2.000 1.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 2.000 1.000 1.000 2.000 1.000 1.000 0.000 1.000 1.000 0.000 1.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -0.500 0.500 0.500 -0.500 0.500 0.500
GM6  2    2.000 1.000 1.000 2.000 1.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 2.000 1.000 1.000 2.000 1.000 1.000 0.000 1.000 1.000 -1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -0.500 0.500 0.500 0.500 -0.500 -0.500



 kpoint  A : 0.000000 0.000000 0.500000  : 1 2 3 4 5 6 7 8 9 10 11 12
A1A4  2    2.000 2.000 2.000 0.000 0.000 0.000 2.000 2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
A2A3  2    2.000 2.000 2.000 0.000 0.000 0.000 -2.000 -2.000 -2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
A5A6  4    4.000 -2.000 -2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000



 kpoint  H : 0.333333 0.333333 0.500000  : 1 2 3 10 11 12
H1H2  2    2.000 2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
H3  2    2.000 -1.000 -1.000 0.000 0.000 0.000 0.000 0.000 0.000 -2.000 1.000 1.000



 kpoint  K : 0.333333 0.333333 0.000000  : 1 2 3 10 11 12
K1  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
K2  1    1.000 1.000 1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000
K3  2    2.000 -1.000 -1.000 0.000 0.000 0.000 0.000 0.000 0.000 2.000 -1.000 -1.000



 kpoint  L : 0.500000 0.000000 0.500000  : 1 4 9 12
L1L4  2    2.000 0.000 2.000 0.000 0.000 0.000 0.000 0.000
L2L3  2    2.000 0.000 -2.000 0.000 0.000 0.000 0.000 0.000



 kpoint  M : 0.500000 0.000000 0.000000  : 1 4 9 12
M1  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
M2  1    1.000 1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000
M3  1    1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000 1.000
M4  1    1.000 -1.000 1.000 -1.000 1.000 -1.000 1.000 -1.000
