SG=187.210
 name=P-6m21'
 nsym=12
 spinor=True
symmetries=
    1 0 0 0 1 0 0 0 1    0 0 0                                 1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
  0 -1 0 1 -1 0 0 0 1    0 0 0   1.0 0.0 0.0 1.0    0.3333333333333333 0.0 0.0 0.6666666666666667
  -1 1 0 -1 0 0 0 0 1    0 0 0   1.0 0.0 0.0 1.0    0.6666666666666667 0.0 0.0 0.3333333333333333
   1 0 0 0 1 0 0 0 -1    0 0 0                                1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5
 0 -1 0 1 -1 0 0 0 -1    0 0 0  1.0 0.0 0.0 1.0    0.8333333333333334 0.0 0.0 0.16666666666666669
 -1 1 0 -1 0 0 0 0 -1    0 0 0  1.0 0.0 0.0 1.0    0.16666666666666669 0.0 0.0 0.8333333333333334
  0 -1 0 -1 0 0 0 0 1    0 0 0  0.0 1.0 1.0 0.0    0.0 -0.6666666666666667 0.6666666666666667 0.0
   -1 1 0 0 1 0 0 0 1    0 0 0                                 0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0
   1 0 0 1 -1 0 0 0 1    0 0 0   0.0 1.0 1.0 0.0    0.0 0.6666666666666667 0.3333333333333333 0.0
 0 -1 0 -1 0 0 0 0 -1    0 0 0  0.0 1.0 1.0 0.0    0.0 0.8333333333333334 0.16666666666666669 0.0
  -1 1 0 0 1 0 0 0 -1    0 0 0                               0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0
  1 0 0 1 -1 0 0 0 -1    0 0 0  0.0 1.0 1.0 0.0    0.0 0.16666666666666669 0.8333333333333334 0.0


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4 5 6 7 8 9 10 11 12
-GM7  2    2.00000 -2.00000 -2.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 2.00000 -2.00000 2.00000 0.00000 0.00000 0.00000
-GM8  2    2.00000 1.00000 1.00000 0.00000 -1.73205 -1.73205 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 2.00000 1.00000 -1.00000 0.00000 -1.73205 1.73205
-GM9  2    2.00000 1.00000 1.00000 0.00000 1.73205 1.73205 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 2.00000 1.00000 -1.00000 0.00000 1.73205 -1.73205



 kpoint  A : 0.000000 0.000000 0.500000  : 1 2 3 4 5 6 7 8 9 10 11 12
-A7  2    2.00000 -2.00000 -2.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 2.00000 -2.00000 2.00000 0.00000 0.00000 0.00000
-A8  2    2.00000 1.00000 1.00000 0.00000 -1.73205 -1.73205 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 2.00000 1.00000 -1.00000 0.00000 -1.73205 1.73205
-A9  2    2.00000 1.00000 1.00000 0.00000 1.73205 1.73205 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 2.00000 1.00000 -1.00000 0.00000 1.73205 -1.73205



 kpoint  H : 0.333333 0.333333 0.500000  : 1 2 3 4 5 6
-H10  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -0.33333 0.33333 0.50000 0.16667 -0.16667 0.00000 0.33333 0.66667 0.50000 -0.16667 -0.83333
-H11  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 0.33333 -0.33333 -0.50000 -0.16667 0.16667 0.00000 -0.33333 -0.66667 -0.50000 0.16667 0.83333
-H12  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 0.33333 -0.33333 0.50000 0.83333 -0.83333 0.00000 -0.33333 -0.66667 0.50000 -0.83333 -0.16667
-H7  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 -1.00000 -0.50000 0.50000 -0.50000 0.00000 -1.00000 0.00000 -0.50000 -0.50000 -0.50000
-H8  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 -1.00000 0.50000 -0.50000 0.50000 0.00000 -1.00000 0.00000 0.50000 0.50000 0.50000
-H9  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -0.33333 0.33333 -0.50000 -0.83333 0.83333 0.00000 0.33333 0.66667 -0.50000 0.83333 0.16667



 kpoint  K : 0.333333 0.333333 0.000000  : 1 2 3 4 5 6
-K10  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -0.33333 0.33333 0.50000 0.16667 -0.16667 0.00000 0.33333 0.66667 0.50000 -0.16667 -0.83333
-K11  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 0.33333 -0.33333 -0.50000 -0.16667 0.16667 0.00000 -0.33333 -0.66667 -0.50000 0.16667 0.83333
-K12  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 0.33333 -0.33333 0.50000 0.83333 -0.83333 0.00000 -0.33333 -0.66667 0.50000 -0.83333 -0.16667
