SG=P6/mc'c'
 name=192.250
 nsym=12
 spinor=False
symmetries=
    1 0 0   0 1 0   0 0 1   0 0 0
  0 -1 0   1 -1 0   0 0 1   0 0 0
  -1 1 0   -1 0 0   0 0 1   0 0 0
  -1 0 0   0 -1 0   0 0 1   0 0 0
   0 1 0   -1 1 0   0 0 1   0 0 0
   1 -1 0   1 0 0   0 0 1   0 0 0
 -1 0 0   0 -1 0   0 0 -1   0 0 0
  0 1 0   -1 1 0   0 0 -1   0 0 0
  1 -1 0   1 0 0   0 0 -1   0 0 0
   1 0 0   0 1 0   0 0 -1   0 0 0
 0 -1 0   1 -1 0   0 0 -1   0 0 0
 -1 1 0   -1 0 0   0 0 -1   0 0 0


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4 5 6 7 8 9 10 11 12
GM1+  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
GM1-  1    1.000 1.000 1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000
GM2+  1    1.000 1.000 1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000
GM2-  1    1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000
GM3+  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.667 -0.667 0.000 0.667 -0.667 0.000 0.667 -0.667 0.000 0.667 -0.667 0.000 -0.667 0.667 0.000 -0.667 0.667 0.000 -0.667 0.667 0.000 -0.667 0.667
GM3-  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.667 -0.667 0.000 0.667 -0.667 -1.000 -0.333 0.333 -1.000 -0.333 0.333 0.000 -0.667 0.667 0.000 -0.667 0.667 -1.000 0.333 -0.333 -1.000 0.333 -0.333
GM4+  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.667 -0.667 -1.000 -0.333 0.333 0.000 0.667 -0.667 -1.000 -0.333 0.333 0.000 -0.667 0.667 -1.000 0.333 -0.333 0.000 -0.667 0.667 -1.000 0.333 -0.333
GM4-  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.667 -0.667 -1.000 -0.333 0.333 -1.000 -0.333 0.333 0.000 0.667 -0.667 0.000 -0.667 0.667 -1.000 0.333 -0.333 -1.000 0.333 -0.333 0.000 -0.667 0.667
GM5+  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.667 0.667 0.000 -0.667 0.667 0.000 -0.667 0.667 0.000 -0.667 0.667 0.000 0.667 -0.667 0.000 0.667 -0.667 0.000 0.667 -0.667 0.000 0.667 -0.667
GM5-  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.667 0.667 0.000 -0.667 0.667 -1.000 0.333 -0.333 -1.000 0.333 -0.333 0.000 0.667 -0.667 0.000 0.667 -0.667 -1.000 -0.333 0.333 -1.000 -0.333 0.333
GM6+  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.667 0.667 -1.000 0.333 -0.333 0.000 -0.667 0.667 -1.000 0.333 -0.333 0.000 0.667 -0.667 -1.000 -0.333 0.333 0.000 0.667 -0.667 -1.000 -0.333 0.333
