SG=P4'32'
 name=207.42
 nsym=12
 spinor=False
symmetries=
   1 0 0   0 1 0   0 0 1   0 0 0
 -1 0 0   0 -1 0   0 0 1   0 0 0
 -1 0 0   0 1 0   0 0 -1   0 0 0
 1 0 0   0 -1 0   0 0 -1   0 0 0
   0 0 1   1 0 0   0 1 0   0 0 0
 0 0 1   -1 0 0   0 -1 0   0 0 0
 0 0 -1   -1 0 0   0 1 0   0 0 0
 0 0 -1   1 0 0   0 -1 0   0 0 0
   0 1 0   0 0 1   1 0 0   0 0 0
 0 -1 0   0 0 1   -1 0 0   0 0 0
 0 1 0   0 0 -1   -1 0 0   0 0 0
 0 -1 0   0 0 -1   1 0 0   0 0 0


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4 5 6 7 8 9 10 11 12
GM1  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
GM2  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.000 0.000 0.667 0.667 0.667 0.667 -0.667 -0.667 -0.667 -0.667 0.000 0.000 0.000 0.000 -0.667 -0.667 -0.667 -0.667 0.667 0.667 0.667 0.667
GM3  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.000 0.000 -0.667 -0.667 -0.667 -0.667 0.667 0.667 0.667 0.667 0.000 0.000 0.000 0.000 0.667 0.667 0.667 0.667 -0.667 -0.667 -0.667 -0.667
GM4  3    3.000 -1.000 -1.000 -1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 -1.000 1.000 1.000 1.000 -1.000 -1.000 1.000 1.000 -1.000 1.000 -1.000



 kpoint  M : 0.500000 0.500000 0.000000  : 1 2 3 4
M1  1    1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000
M2  1    1.000 1.000 -1.000 -1.000 -1.000 -1.000 1.000 1.000
M3M4  2    2.000 -2.000 0.000 0.000 0.000 0.000 0.000 0.000



 kpoint  R : 0.500000 0.500000 0.500000  : 1 2 3 4 5 6 7 8 9 10 11 12
R1  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
R2  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.000 0.000 0.667 0.667 0.667 0.667 -0.667 -0.667 -0.667 -0.667 0.000 0.000 0.000 0.000 -0.667 -0.667 -0.667 -0.667 0.667 0.667 0.667 0.667
R3  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.000 0.000 -0.667 -0.667 -0.667 -0.667 0.667 0.667 0.667 0.667 0.000 0.000 0.000 0.000 0.667 0.667 0.667 0.667 -0.667 -0.667 -0.667 -0.667
R4  3    3.000 -1.000 -1.000 -1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 -1.000 1.000 1.000 1.000 -1.000 -1.000 1.000 1.000 -1.000 1.000 -1.000



 kpoint  X : 0.000000 0.500000 0.000000  : 1 2 3 4
X1  1    1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000
X2X3  2    2.000 0.000 -2.000 0.000 0.000 0.000 0.000 0.000
X4  1    1.000 -1.000 1.000 -1.000 1.000 -1.000 1.000 -1.000
