SG=Pm'm'm
 name=47.252
 nsym=4
 spinor=True
symmetries=
    1 0 0   0 1 0   0 0 1   0 0 0   1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
  -1 0 0   0 -1 0   0 0 1   0 0 0  1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5
 -1 0 0   0 -1 0   0 0 -1   0 0 0   1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
   1 0 0   0 1 0   0 0 -1   0 0 0  1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4
-GM3  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.500 0.000 -0.500 0.000 0.500 0.000 0.500
-GM4  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.500 0.000 0.500 0.000 -0.500 0.000 -0.500
-GM5  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.500 -1.000 0.500 0.000 0.500 -1.000 -0.500
-GM6  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.500 -1.000 -0.500 0.000 -0.500 -1.000 0.500



 kpoint  R : 0.500000 0.500000 0.500000  : 1 2 3 4
-(R)E3  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.500 0.000 -0.500 0.000 0.500 0.000 0.500
-(R)E4  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.500 0.000 0.500 0.000 -0.500 0.000 -0.500
-(R)E5  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.500 -1.000 0.500 0.000 0.500 -1.000 -0.500
-(R)E6  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.500 -1.000 -0.500 0.000 -0.500 -1.000 0.500



 kpoint  S : 0.500000 0.500000 0.000000  : 1 2 3 4
-(S)A3  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.500 0.000 -0.500 0.000 0.500 0.000 0.500
-(S)A4  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.500 0.000 0.500 0.000 -0.500 0.000 -0.500
-(S)A5  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.500 -1.000 0.500 0.000 0.500 -1.000 -0.500
-(S)A6  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.500 -1.000 -0.500 0.000 -0.500 -1.000 0.500



 kpoint  T : 0.000000 0.500000 0.500000  : 1 2 3 4
-(T)D3  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.500 0.000 -0.500 0.000 0.500 0.000 0.500
-(T)D4  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.500 0.000 0.500 0.000 -0.500 0.000 -0.500
-(T)D5  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.500 -1.000 0.500 0.000 0.500 -1.000 -0.500
-(T)D6  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.500 -1.000 -0.500 0.000 -0.500 -1.000 0.500



 kpoint  U : 0.500000 0.000000 0.500000  : 1 2 3 4
-(U)C3  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.500 0.000 -0.500 0.000 0.500 0.000 0.500
-(U)C4  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.500 0.000 0.500 0.000 -0.500 0.000 -0.500
-(U)C5  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.500 -1.000 0.500 0.000 0.500 -1.000 -0.500
-(U)C6  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.500 -1.000 -0.500 0.000 -0.500 -1.000 0.500



 kpoint  X : 0.500000 0.000000 0.000000  : 1 2 3 4
-(X)Y3  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.500 0.000 -0.500 0.000 0.500 0.000 0.500
-(X)Y4  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.500 0.000 0.500 0.000 -0.500 0.000 -0.500
-(X)Y5  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.500 -1.000 0.500 0.000 0.500 -1.000 -0.500
-(X)Y6  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.500 -1.000 -0.500 0.000 -0.500 -1.000 0.500



 kpoint  Y : 0.000000 0.500000 0.000000  : 1 2 3 4
-(Y)B3  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.500 0.000 -0.500 0.000 0.500 0.000 0.500
-(Y)B4  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.500 0.000 0.500 0.000 -0.500 0.000 -0.500
-(Y)B5  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.500 -1.000 0.500 0.000 0.500 -1.000 -0.500
-(Y)B6  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.500 -1.000 -0.500 0.000 -0.500 -1.000 0.500



 kpoint  Z : 0.000000 0.000000 0.500000  : 1 2 3 4
-Z3  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.500 0.000 -0.500 0.000 0.500 0.000 0.500
-Z4  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.500 0.000 0.500 0.000 -0.500 0.000 -0.500
-Z5  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.500 -1.000 0.500 0.000 0.500 -1.000 -0.500
-Z6  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.500 -1.000 -0.500 0.000 -0.500 -1.000 0.500
