SG=Cmm'm'
 name=65.486
 nsym=4
 spinor=True
symmetries=
    1 0 0   0 1 0   0 0 1   0 0 0    1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
  1 0 0   0 -1 0   0 0 -1   0 0 0  0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0
 -1 0 0   0 -1 0   0 0 -1   0 0 0    1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
   -1 0 0   0 1 0   0 0 1   0 0 0  0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4
-GM3  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.500 0.000 -0.500 0.000 0.500 0.000 0.500
-GM4  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.500 0.000 0.500 0.000 -0.500 0.000 -0.500
-GM5  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.500 -1.000 0.500 0.000 0.500 -1.000 -0.500
-GM6  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.500 -1.000 -0.500 0.000 -0.500 -1.000 0.500



 kpoint  R : 0.500000 0.000000 0.500000  : 1 3
-(R)L2  1    1.000 1.000 1.000 1.000 0.000 -1.000 -0.500 0.500
-(R)L3  1    1.000 1.000 1.000 1.000 0.000 0.000 -0.500 -0.500



 kpoint  S : 0.500000 0.000000 0.000000  : 1 3
-(S)V2  1    1.000 1.000 1.000 1.000 0.000 -1.000 -0.500 0.500
-(S)V3  1    1.000 1.000 1.000 1.000 0.000 0.000 -0.500 -0.500



 kpoint  T : 0.500000 0.500000 0.500000  : 1 2 3 4
-(T)M3  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.500 0.000 -0.500 0.000 0.500 0.000 0.500
-(T)M4  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.500 0.000 0.500 0.000 -0.500 0.000 -0.500
-(T)M5  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.500 -1.000 0.500 0.000 0.500 -1.000 -0.500
-(T)M6  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.500 -1.000 -0.500 0.000 -0.500 -1.000 0.500



 kpoint  Y : 0.500000 0.500000 0.000000  : 1 2 3 4
-Y3  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.500 0.000 -0.500 0.000 0.500 0.000 0.500
-Y4  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.500 0.000 0.500 0.000 -0.500 0.000 -0.500
-Y5  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.500 -1.000 0.500 0.000 0.500 -1.000 -0.500
-Y6  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.500 -1.000 -0.500 0.000 -0.500 -1.000 0.500



 kpoint  Z : 0.000000 0.000000 0.500000  : 1 2 3 4
-(Z)A3  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.500 0.000 -0.500 0.000 0.500 0.000 0.500
-(Z)A4  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.500 0.000 0.500 0.000 -0.500 0.000 -0.500
-(Z)A5  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.500 -1.000 0.500 0.000 0.500 -1.000 -0.500
-(Z)A6  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.500 -1.000 -0.500 0.000 -0.500 -1.000 0.500
