GM:(0,0,0)  A:(1/2,0,1/2)  B:(0,0,1/2)  C:(1/2,1/2,0)  D:(0,1/2,1/2)  E:(1/2,1/2,1/2)  Y:(1/2,0,0)  Z:(0,1/2,0)
GM:(0,0,0)  U:(1/2,0,1/2)  Z:(0,0,1/2)  V:(1/2,1/2,0)  T:(0,1/2,1/2)  R:(1/2,1/2,1/2)  X:(1/2,0,0)  Y:(0,1/2,0)
GM1+  GM1-  GM3  GM2  (A)U1+  (A)U1-  (A)U3  (A)U2  (B)Z1+  (B)Z1-  (B)Z3  (B)Z2  (C)V1+  (C)V1-  (C)V3  (C)V2  (D)T1+  (D)T1-  (D)T3  (D)T2  (E)R1+  (E)R1-  (E)R3  (E)R2  (Y)X1+  (Y)X1-  (Y)X3  (Y)X2  (Z)Y1+  (Z)Y1-  (Z)Y3  (Z)Y2
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1a (2'/m',1) Ag 1 1;1a (2'/m',1) Au 1 1;1a (2'/m',1) Ag 1 1;1a (2'/m',1) Au 1 1;1b (2'/m',1) Ag 1 1;1b (2'/m',1) Au 1 1;1b (2'/m',1) Ag 1 1;1b (2'/m',1) Au 1 1;1c (2'/m',1) Ag 1 1;1c (2'/m',1) Au 1 1;1c (2'/m',1) Ag 1 1;1c (2'/m',1) Au 1 1;1d (2'/m',1) Ag 1 1;1d (2'/m',1) Au 1 1;1d (2'/m',1) Ag 1 1;1d (2'/m',1) Au 1 1;1e (2'/m',1) Ag 1 1;1e (2'/m',1) Au 1 1;1e (2'/m',1) Ag 1 1;1e (2'/m',1) Au 1 1;1f (2'/m',1) Ag 1 1;1f (2'/m',1) Au 1 1;1f (2'/m',1) Ag 1 1;1f (2'/m',1) Au 1 1;1g (2'/m',1) Ag 1 1;1g (2'/m',1) Au 1 1;1g (2'/m',1) Ag 1 1;1g (2'/m',1) Au 1 1;1h (2'/m',1) Ag 1 1;1h (2'/m',1) Au 1 1;1h (2'/m',1) Ag 1 1;1h (2'/m',1) Au 1 1
1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0
0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0
0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0
0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1
1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0
0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0
0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1
0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0
1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0
0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0
0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0
