GM:(0,0,0)  A:(1/2,1/2,1/2)  M:(1/2,1/2,0)  R:(0,1/2,1/2)  X:(0,1/2,0)  Z:(0,0,1/2)
GM:(0,0,0)  A:(1/2,1/2,1/2)  M:(1/2,1/2,0)  R:(0,1/2,1/2)  X:(0,1/2,0)  Z:(0,0,1/2)
GM1  GM4  GM2  GM3  GM5  GM7  GM6  A1A3  A2A4  A5A5  A6A7  M1  M4  M2  M3  M5  M7  M6  R1R2  R3R4  R5  X1  X2  X3  X4  X5  Z1Z3  Z2Z4  Z5Z5  Z6Z7
1 1 1 1 2 2 2 2 2 4 4 1 1 1 1 2 2 2 2 2 2 1 1 1 1 2 2 2 4 4
2a (42m,42m) A1 2 1,2a (42m,42m) A2 2 1,2a (42m,42m) B1 2 1,2a (42m,42m) B2 2 1,2a (42m,42m) E 4 1,2a (42m,42m) E1 4 1,2a (42m,42m) E2 4 1,2b (4'2'm,mm2) A1 2 1,2b (4'2'm,mm2) A2 2 1,2b (4'2'm,mm2) B1B2 4 1,2b (4'2'm,mm2) E 4 1,2c (4'2'm,mm2) A1 2 1,2c (4'2'm,mm2) A2 2 1,2c (4'2'm,mm2) B1B2 4 1,2c (4'2'm,mm2) E 4 1,2d (42m,42m) A1 2 1,2d (42m,42m) A2 2 1,2d (42m,42m) B1 2 1,2d (42m,42m) B2 2 1,2d (42m,42m) E 4 1,2d (42m,42m) E1 4 1,2d (42m,42m) E2 4 1,4e (222,222) A1 4 1,4e (222,222) B1 4 1,4e (222,222) B2 4 1,4e (222,222) B3 4 1,4f (2'2'2,2) A 4 1,4f (2'2'2,2) B 4 1,4f (2'2'2,2) 1E 4 1,4f (2'2'2,2) 2E 4 1
2 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 1 0 0 2 0 0 0 0 1 0 0 0
0 2 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 1 0 0 0 2 0 0 0 0 1 0 0
0 0 2 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 1 0 0 2 0 0 0 0 0 1 0 0
0 0 0 2 0 0 0 1 0 0 0 0 0 0 2 0 0 0 1 0 0 0 2 0 0 0 1 0 0 0
0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 2 0 0 0 2 0 0 0 2 2 0 0 0 1 0
0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 2 0 0 0 2 0 0 0 0 2 0 0 0 1
0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 2 0 0 2 0 0 0 0 2 0 0 0 1
1 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0
0 1 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0
0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 2 0 0 2 0 0 2 2 0 0 0 0 0 1 0
0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 1 0 0 2 0 0 0 0 2 0 0 0 1
1 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0
0 1 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0
0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 2 0 0 0 2 0 0 0 2 2 0 0 0 1 0
0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 1 0 0 2 0 0 0 0 2 0 0 0 1
2 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 2 0 1 0 0 0
0 2 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 2 0 0 0 1 0 0
0 0 2 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 2 0 0 1 0 0
0 0 0 2 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 2 0 0 1 0 0 0
0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 2 0 0 2 0 0 2 2 0 0 0 0 0 1 0
0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 2 0 0 2 0 0 0 0 2 0 0 0 1
0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 2 0 0 0 2 0 0 0 0 2 0 0 0 1
2 0 2 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 1 1 0 2 0 0 2 0 1 1 0 0
0 2 0 2 0 0 0 0 0 1 0 0 0 0 0 2 0 0 1 1 0 0 2 2 0 0 1 1 0 0
0 0 0 0 2 0 0 1 1 0 0 0 2 0 2 0 0 0 1 1 0 0 2 0 2 0 0 0 1 0
0 0 0 0 2 0 0 1 1 0 0 2 0 2 0 0 0 0 1 1 0 2 0 2 0 0 0 0 1 0
1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 2 0 0 1 1 0 1 1 1 1 0 1 1 0 0
0 0 0 0 2 0 0 1 1 0 0 1 1 1 1 0 0 0 1 1 0 1 1 1 1 0 0 0 1 0
0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 1 0 0 2 0 0 0 0 2 0 0 0 1
0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 1 0 0 2 0 0 0 0 2 0 0 0 1

-1 0 -2 0 -1 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 0 0 0
0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 -1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 -1 1 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0
0 -1 -2 0 -1 0 0 0 1 0 0 -1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0
0 1 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 -1 0 0 -2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0
0 -1 -1 0 -1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
0 0 0 0 0 0 0 0 -2 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-1 1 1 -1 0 0 0 0 -2 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 -1 -1 0 -1 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 -1 -1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 -1 -1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
-1 -1 -1 -1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0
-1 -1 -2 0 -2 0 0 0 0 0 0 -1 1 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0
0 0 0 0 0 -1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
-1 0 0 -1 0 0 0 1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0
0 0 1 -1 0 0 0 0 0 0 0 1 -1 0 0 0 0 0 0 0 0 -1 1 0 0 0 0 0 0 0
0 -1 -1 0 -1 0 0 0 0 0 0 -1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
-1 0 -1 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0
0 0 0 0 0 -1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
-1 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
0 -1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0
0 0 0 0 0 -1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2

1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
