GM:(0,0,0)  A:(0,0,1/2)  L:(1/2,1/2,1/2)  M:(0,1,1/2)  V:(1/2,1/2,0)  Y:(0,1,0)
GM:(0,0,0)  A:(0,0,1/2)  L:(1/2,1/2,1/2)  M:(0,1,1/2)  V:(1/2,1/2,0)  Y:(0,1,0)
GM1+  GM1-  GM2+  GM2-  GM3GM4  GM5GM6  A1+  A1-  A2+  A2-  A3A4  A5A6  L1+  L1-  L3L3  L2L2  M1+  M1-  M2+  M2-  M3M4  M5M6  V1+  V1-  V3V3  V2V2  Y1+  Y1-  Y2+  Y2-  Y3Y4  Y5Y6
1 1 1 1 2 2 1 1 1 1 2 2 1 1 2 2 1 1 1 1 2 2 1 1 2 2 1 1 1 1 2 2
2a (2/m1',2/m) Ag 1 1;2a (2/m1',2/m) Au 1 1;2a (2/m1',2/m) Bg 1 1;2a (2/m1',2/m) Bu 1 1;2a (2/m1',2/m) 1Eg2Eg 2 1;2a (2/m1',2/m) 1Eu2Eu 2 1;2b (2/m1',2/m) Ag 1 1;2b (2/m1',2/m) Au 1 1;2b (2/m1',2/m) Bg 1 1;2b (2/m1',2/m) Bu 1 1;2b (2/m1',2/m) 1Eg2Eg 2 1;2b (2/m1',2/m) 1Eu2Eu 2 1;2c (2/m1',2/m) Ag 1 1;2c (2/m1',2/m) Au 1 1;2c (2/m1',2/m) Bg 1 1;2c (2/m1',2/m) Bu 1 1;2c (2/m1',2/m) 1Eg2Eg 2 1;2c (2/m1',2/m) 1Eu2Eu 2 1;2d (2/m1',2/m) Ag 1 1;2d (2/m1',2/m) Au 1 1;2d (2/m1',2/m) Bg 1 1;2d (2/m1',2/m) Bu 1 1;2d (2/m1',2/m) 1Eg2Eg 2 1;2d (2/m1',2/m) 1Eu2Eu 2 1;4e (11',1) Ag 2 1;4e (11',1) Au 2 1;4e (11',1) AgAg 4 0;4e (11',1) AuAu 4 0;4f (11',1) Ag 2 1;4f (11',1) Au 2 1;4f (11',1) AgAg 4 0;4f (11',1) AuAu 4 0
1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0
0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0
0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0
0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0
0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0
0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1
1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0
0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0
0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0
0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0
0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0
0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1
1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0
0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0
0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0
0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0
0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0
0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1
1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0
0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0
0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0
0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0
0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0
0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1
1 0 1 0 0 0 1 0 1 0 0 0 1 1 0 0 0 1 0 1 0 0 1 1 0 0 0 1 0 1 0 0
0 1 0 1 0 0 0 1 0 1 0 0 1 1 0 0 1 0 1 0 0 0 1 1 0 0 1 0 1 0 0 0
0 0 0 0 2 0 0 0 0 0 2 0 0 0 1 1 0 0 0 0 0 2 0 0 1 1 0 0 0 0 0 2
0 0 0 0 0 2 0 0 0 0 0 2 0 0 1 1 0 0 0 0 2 0 0 0 1 1 0 0 0 0 2 0
1 0 1 0 0 0 0 1 0 1 0 0 1 1 0 0 1 0 1 0 0 0 1 1 0 0 0 1 0 1 0 0
0 1 0 1 0 0 1 0 1 0 0 0 1 1 0 0 0 1 0 1 0 0 1 1 0 0 1 0 1 0 0 0
0 0 0 0 2 0 0 0 0 0 0 2 0 0 1 1 0 0 0 0 2 0 0 0 1 1 0 0 0 0 0 2
0 0 0 0 0 2 0 0 0 0 2 0 0 0 1 1 0 0 0 0 0 2 0 0 1 1 0 0 0 0 2 0

0 0 0 0 0 0 0 0 -1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1 1 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 1 0 0 0 0 0
0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0
0 0 0 -1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 -1 -1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0
0 0 0 0 0 -1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0
0 0 -1 0 0 -1 0 0 1 0 0 1 -1 0 1 0 1 0 0 0 0 0 1 0 -1 0 -1 0 0 0 0 0
2 0 -1 0 0 0 0 0 1 0 0 0 -1 0 0 0 1 0 0 0 0 0 1 0 0 0 -3 0 0 0 0 0
0 0 -1 0 1 0 0 0 1 0 0 0 -1 0 0 0 1 0 0 0 0 0 1 0 0 0 -1 0 0 0 -1 0
0 0 -1 -1 0 0 0 0 1 1 0 0 -1 0 0 0 2 0 0 0 0 0 1 0 0 0 -2 0 0 0 0 0
0 0 -2 0 0 -1 0 0 2 0 0 1 -2 0 0 0 2 0 0 0 1 0 2 0 0 0 -2 0 0 0 -1 0
-1 -1 -1 -1 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 1 0 0 0 0 -1 -1 0 0 0 0 0 0 -1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
-1 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
-1 0 0 -1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 -1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
0 -1 -1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-1 -1 -1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0
0 0 0 0 -1 -1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 -1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
0 0 0 0 -1 -1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0
1 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 1 0 0 0
-1 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0
