GM:(0,0,0)  A:(0,0,1/2)  L:(1/2,1/2,1/2)  M:(0,1,1/2)  V:(1/2,1/2,0)  Y:(0,1,0)
GM:(0,0,0)  A:(0,0,1/2)  L:(1/2,1/2,1/2)  M:(0,1,1/2)  V:(1/2,1/2,0)  Y:(0,1,0)
GM1+  GM1-  GM2+  GM2-  GM4  GM6  GM3  GM5  A1+  A1-  A2+  A2-  A4  A6  A3  A5  L1+  L1-  L3  L2  M1+  M1-  M2+  M2-  M4  M6  M3  M5  V1+  V1-  V3  V2  Y1+  Y1-  Y2+  Y2-  Y4  Y6  Y3  Y5
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2a (2/m,2/m) Ag 1 1;2a (2/m,2/m) Au 1 1;2a (2/m,2/m) Bg 1 1;2a (2/m,2/m) Bu 1 1;2a (2/m,2/m) 1Eg 1 1;2a (2/m,2/m) 1Eu 1 1;2a (2/m,2/m) 2Eg 1 1;2a (2/m,2/m) 2Eu 1 1;2b (2/m,2/m) Ag 1 1;2b (2/m,2/m) Au 1 1;2b (2/m,2/m) Bg 1 1;2b (2/m,2/m) Bu 1 1;2b (2/m,2/m) 1Eg 1 1;2b (2/m,2/m) 1Eu 1 1;2b (2/m,2/m) 2Eg 1 1;2b (2/m,2/m) 2Eu 1 1;2c (2/m,2/m) Ag 1 1;2c (2/m,2/m) Au 1 1;2c (2/m,2/m) Bg 1 1;2c (2/m,2/m) Bu 1 1;2c (2/m,2/m) 1Eg 1 1;2c (2/m,2/m) 1Eu 1 1;2c (2/m,2/m) 2Eg 1 1;2c (2/m,2/m) 2Eu 1 1;2d (2/m,2/m) Ag 1 1;2d (2/m,2/m) Au 1 1;2d (2/m,2/m) Bg 1 1;2d (2/m,2/m) Bu 1 1;2d (2/m,2/m) 1Eg 1 1;2d (2/m,2/m) 1Eu 1 1;2d (2/m,2/m) 2Eg 1 1;2d (2/m,2/m) 2Eu 1 1;4e (1,1) Ag 2 1;4e (1,1) Au 2 1;4e (1,1) Ag 2 1;4e (1,1) Au 2 1;4f (1,1) Ag 2 1;4f (1,1) Au 2 1;4f (1,1) Ag 2 1;4f (1,1) Au 2 1
1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0
0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0
0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0
0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0
0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0
0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0
0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1
1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0
0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0
0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0
0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0
0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0
0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0
