GM:(0,0,0)  A:(1/2,1/2,1/2)  M:(1/2,1/2,0)  R:(0,1/2,1/2)  X:(0,1/2,0)  Z:(0,0,1/2)
GM:(0,0,0)  T:(1,0,1/2)  Y:(1,0,0)  R:(1/2,1/2,1/2)  S:(1/2,1/2,0)  Z:(0,0,1/2)
GM1+  GM1-  GM2+  GM2-  GM3+GM4+  GM3-GM4-  GM5  GM6  (A)T1+  (A)T1-  (A)T2+  (A)T2-  (A)T3+T4+  (A)T3-T4-  (A)T5  (A)T6  (M)Y1+  (M)Y1-  (M)Y2+  (M)Y2-  (M)Y3+Y4+  (M)Y3-Y4-  (M)Y5  (M)Y6  R1+  R1-  R2+  R2-  R3  R4  R5  R6  (X)S1+  (X)S1-  (X)S2+  (X)S2-  (X)S3  (X)S4  (X)S5  (X)S6  Z1+  Z1-  Z2+  Z2-  Z3+Z4+  Z3-Z4-  Z5  Z6
1 1 1 1 2 2 2 2 1 1 1 1 2 2 2 2 1 1 1 1 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2
1a (4'/mm'm,mmm) Ag 1 1,1a (4'/mm'm,mmm) Au 1 1,1a (4'/mm'm,mmm) B1g 1 1,1a (4'/mm'm,mmm) B1u 1 1,1a (4'/mm'm,mmm) B2gB3g 2 1,1a (4'/mm'm,mmm) B2uB3u 2 1,1a (4'/mm'm,mmm) Eg 2 1,1a (4'/mm'm,mmm) Eu 2 1,1b (4'/mm'm,mmm) Ag 1 1,1b (4'/mm'm,mmm) Au 1 1,1b (4'/mm'm,mmm) B1g 1 1,1b (4'/mm'm,mmm) B1u 1 1,1b (4'/mm'm,mmm) B2gB3g 2 1,1b (4'/mm'm,mmm) B2uB3u 2 1,1b (4'/mm'm,mmm) Eg 2 1,1b (4'/mm'm,mmm) Eu 2 1,1c (4'/mm'm,mmm) Ag 1 1,1c (4'/mm'm,mmm) Au 1 1,1c (4'/mm'm,mmm) B1g 1 1,1c (4'/mm'm,mmm) B1u 1 1,1c (4'/mm'm,mmm) B2gB3g 2 1,1c (4'/mm'm,mmm) B2uB3u 2 1,1c (4'/mm'm,mmm) Eg 2 1,1c (4'/mm'm,mmm) Eu 2 1,1d (4'/mm'm,mmm) Ag 1 1,1d (4'/mm'm,mmm) Au 1 1,1d (4'/mm'm,mmm) B1g 1 1,1d (4'/mm'm,mmm) B1u 1 1,1d (4'/mm'm,mmm) B2gB3g 2 1,1d (4'/mm'm,mmm) B2uB3u 2 1,1d (4'/mm'm,mmm) Eg 2 1,1d (4'/mm'm,mmm) Eu 2 1,2e (m'm'm,2/m) Ag 2 1,2e (m'm'm,2/m) Au 2 1,2e (m'm'm,2/m) Bg 2 1,2e (m'm'm,2/m) Bu 2 1,2e (m'm'm,2/m) 1Eg 2 1,2e (m'm'm,2/m) 1Eu 2 1,2e (m'm'm,2/m) 2Eg 2 1,2e (m'm'm,2/m) 2Eu 2 1,2f (m'm'm,2/m) Ag 2 1,2f (m'm'm,2/m) Au 2 1,2f (m'm'm,2/m) Bg 2 1,2f (m'm'm,2/m) Bu 2 1,2f (m'm'm,2/m) 1Eg 2 1,2f (m'm'm,2/m) 1Eu 2 1,2f (m'm'm,2/m) 2Eg 2 1,2f (m'm'm,2/m) 2Eu 2 1
1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0
0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0
0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0
0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1
