GM:(0,0,0)  A:(1/2,1/2,1/2)  M:(1/2,1/2,0)  R:(0,1/2,1/2)  X:(0,1/2,0)  Z:(0,0,1/2)
GM:(0,0,0)  A:(1/2,1/2,1/2)  M:(1/2,1/2,0)  R:(0,1/2,1/2)  X:(0,1/2,0)  Z:(0,0,1/2)
GM4+  GM4-  GM3+  GM3-  GM1+  GM1-  GM2+  GM2-  GM8  GM12  GM7  GM11  GM6  GM10  GM5  GM9  A4-A4+  A3-A3+  A1-A1+  A2-A2+  A12A8  A11A7  A10A6  A5A9  M4+  M4-  M3+  M3-  M1+  M1-  M2+  M2-  M8  M12  M7  M11  M6  M10  M5  M9  R2-R2+  R1-R1+  R4R6  R3R5  X2+  X2-  X1+  X1-  X4  X6  X3  X5  Z4-Z4+  Z3-Z3+  Z1-Z1+  Z2-Z2+  Z12Z8  Z11Z7  Z10Z6  Z5Z9
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2
2a (42'2',4) 1E 2 1;2a (42'2',4) 2E 2 1;2a (42'2',4) A 2 1;2a (42'2',4) B 2 1;2a (42'2',4) 1E1 2 1;2a (42'2',4) 1E2 2 1;2a (42'2',4) 2E1 2 1;2a (42'2',4) 2E2 2 1;2b (4/m,4/m) 1Eg 2 1;2b (4/m,4/m) 1Eu 2 1;2b (4/m,4/m) 2Eg 2 1;2b (4/m,4/m) 2Eu 2 1;2b (4/m,4/m) Ag 2 1;2b (4/m,4/m) Au 2 1;2b (4/m,4/m) Bg 2 1;2b (4/m,4/m) Bu 2 1;2b (4/m,4/m) 1E1g 2 1;2b (4/m,4/m) 1E1u 2 1;2b (4/m,4/m). 1E2g 2 1;2b (4/m,4/m). 1E2u 2 1;2b (4/m,4/m). 2E1g 2 1;2b (4/m,4/m). 2E1u 2 1;2b (4/m,4/m). 2E2g 2 1;2b (4/m,4/m). 2E2u 2 1;2c (42'2',4) 1E 2 1;2c (42'2',4) 2E 2 1;2c (42'2',4) A 2 1;2c (42'2',4) B 2 1;2c (42'2',4) 1E1 2 1;2c (42'2',4) 1E2 2 1;2c (42'2',4) 2E1 2 1;2c (42'2',4) 2E2 2 1;2d (4/m,4/m) 1Eg 2 1;2d (4/m,4/m) 1Eu 2 1;2d (4/m,4/m) 2Eg 2 1;2d (4/m,4/m) 2Eu 2 1;2d (4/m,4/m) Ag 2 1;2d (4/m,4/m) Au 2 1;2d (4/m,4/m) Bg 2 1;2d (4/m,4/m) Bu 2 1;2d (4/m,4/m) 1E1g 2 1;2d (4/m,4/m) 1E1u 2 1;2d (4/m,4/m). 1E2g 2 1;2d (4/m,4/m). 1E2u 2 1;2d (4/m,4/m). 2E1g 2 1;2d (4/m,4/m). 2E1u 2 1;2d (4/m,4/m). 2E2g 2 1;2d (4/m,4/m). 2E2u 2 1;4e (2/m,2/m) Ag 4 0;4e (2/m,2/m) Au 4 0;4e (2/m,2/m) Bg 4 0;4e (2/m,2/m) Bu 4 0;4e (2/m,2/m) 1Eg 4 0;4e (2/m,2/m) 1Eu 4 0;4e (2/m,2/m) 2Eg 4 0;4e (2/m,2/m) 2Eu 4 0;4f (2'2'2,2) A 4 0;4f (2'2'2,2) B 4 0;4f (2'2'2,2) 1E 4 0;4f (2'2'2,2) 2E 4 0
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0
0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0
0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0
0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0
0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0
0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1
