GM:(0,0,0)  A:(1/2,1/2,1/2)  M:(1/2,1/2,0)  R:(0,1/2,1/2)  X:(0,1/2,0)  Z:(0,0,1/2)
GM:(0,0,0)  T:(1,0,1/2)  Y:(1,0,0)  R:(1/2,1/2,1/2)  S:(1/2,1/2,0)  Z:(0,0,1/2)
GM1+  GM1-  GM2+  GM2-  GM3+GM4+  GM3-GM4-  GM5  GM6  (A)T1+T2-  (A)T1-T2+  (A)T3-T3+  (A)T4-T4+  (A)T5T6  (M)Y1+  (M)Y1-  (M)Y2+  (M)Y2-  (M)Y3+Y4+  (M)Y3-Y4-  (M)Y5  (M)Y6  R1-R1+  R2-R2+  R3R5  R4R6  (X)S1+  (X)S1-  (X)S2+  (X)S2-  (X)S3  (X)S4  (X)S5  (X)S6  Z1+Z2-  Z1-Z2+  Z3-Z3+  Z4-Z4+  Z5Z6
1 1 1 1 2 2 2 2 2 2 2 2 4 1 1 1 1 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 2 2 2 2 4
2a (mmm,mmm) Ag 2 1,2a (mmm,mmm) Au 2 1,2a (mmm,mmm) B1g 2 1,2a (mmm,mmm) B1u 2 1,2a (mmm,mmm) B2g 2 1,2a (mmm,mmm) B2u 2 1,2a (mmm,mmm) B3g 2 1,2a (mmm,mmm) B3u 2 1,2a (mmm,mmm) Eg 4 1,2a (mmm,mmm) Eu 4 1,2b (4'2'm,mm2) A1 2 1,2b (4'2'm,mm2) A2 2 1,2b (4'2'm,mm2) E 4 1,2c (mmm,mmm) Ag 2 1,2c (mmm,mmm) Au 2 1,2c (mmm,mmm) B1g 2 1,2c (mmm,mmm) B1u 2 1,2c (mmm,mmm) B2g 2 1,2c (mmm,mmm) B2u 2 1,2c (mmm,mmm) B3g 2 1,2c (mmm,mmm) B3u 2 1,2c (mmm,mmm) Eg 4 1,2c (mmm,mmm) Eu 4 1,2d (4'2'm,mm2) A1 2 1,2d (4'2'm,mm2) A2 2 1,2d (4'2'm,mm2) E 4 1,4e (2'2'2,2) A 4 1,4e (2'2'2,2) B 4 1,4e (2'2'2,2) 1E 4 1,4e (2'2'2,2) 2E 4 1,4f (2/m,2/m) Ag 4 1,4f (2/m,2/m) Au 4 1,4f (2/m,2/m) Bg 4 1,4f (2/m,2/m) Bu 4 1,4f (2/m,2/m) 1Eg 4 1,4f (2/m,2/m) 1Eu 4 1,4f (2/m,2/m) 2Eg 4 1,4f (2/m,2/m) 2Eu 4 1
2 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0
0 2 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0
0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0
0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0
0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0
0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0
0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0
0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 1 1 0 0 0 0 2 2 0 0 0 0 0 0 1
0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 1 1 0 0 0 0 0 0 2 2 0 0 0 0 1
1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0
0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0
0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 1 1 1 1 0 0 0 0 1
2 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0
0 2 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0
0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0
0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0
0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0
0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0
0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 1 1 0 0 0 0 0 0 2 2 0 0 0 0 1
0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 1 1 0 0 0 0 2 2 0 0 0 0 0 0 1
1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0
0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0
0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 1 1 1 1 0 0 0 0 1
