GM:(0,0,0)  F:(0,1/2,1)  L:(-1/2,1/2,1/2)  T:(0,0,3/2)
GM:(0,0,0)  F:(0,1/2,1)  L:(-1/2,1/2,1/2)  T:(0,0,3/2)
GM2+GM3+  GM2-GM3-  GM1+  GM1-  GM5GM6  GM8GM9  GM4GM4  GM7GM7  F1+  F1-  F3F3  F2F2  L1+  L1-  L3L3  L2L2  T2+T3+  T2-T3-  T1+  T1-  T5T6  T8T9  T4T4  T7T7
2 2 1 1 2 2 2 2 1 1 2 2 1 1 2 2 2 2 1 1 2 2 2 2
3a (31',3) 1Eg2Eg 2 1,3a (31',3) 1Eu2Eu 2 1,3a (31',3) Ag 1 1,3a (31',3) Au 1 1,3a (31',3) 1Eg2Eg 2 1,3a (31',3) 1Eu2Eu 2 1,3a (31',3) EgEg 2 1,3a (31',3) EuEu 2 1,3b (31',3) 1Eg2Eg 2 1,3b (31',3) 1Eu2Eu 2 1,3b (31',3) Ag 1 1,3b (31',3) Au 1 1,3b (31',3) 1Eg2Eg 2 1,3b (31',3) 1Eu2Eu 2 1,3b (31',3) EgEg 2 1,3b (31',3) EuEu 2 1,9d (11',1) Ag 3 0,9d (11',1) Au 3 0,9d (11',1) AgAg 6 0,9d (11',1) AuAu 6 0,9e (11',1) Ag 3 0,9e (11',1) Au 3 0,9e (11',1) AgAg 6 0,9e (11',1) AuAu 6 0
1 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0
0 1 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 1 0 0 0 0 0 0
0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0
0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0
0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0
0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0
0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1
1 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0
0 1 0 0 0 0 0 0 0 2 0 0 2 0 0 0 1 0 0 0 0 0 0 0
0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0
0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0
0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0
0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0
0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1
