GM:(0,0,0)  A:(0,0,1/2)  H:(1/3,1/3,1/2)  K:(1/3,1/3,0)  L:(1/2,0,1/2)  M:(1/2,0,0)
GM:(0,0,0)  A:(0,0,1/2)  H:(1/3,1/3,1/2)  K:(1/3,1/3,0)  L:(1/2,0,1/2)  M:(1/2,0,0)
GM3+  GM3-  GM2+  GM2-  GM1+  GM1-  GM5  GM8  GM6  GM9  GM4  GM7  A3+  A3-  A2+  A2-  A1+  A1-  A5  A8  A6  A9  A4  A7  H3  H2  H1  H5  H6  H4  K3  K2  K1  K5  K6  K4  L1+  L1-  L3  L2  M1+  M1-  M3  M2
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1a (3m',3) 1Eg 1 1,1a (3m',3) 1Eu 1 1,1a (3m',3) 2Eg 1 1,1a (3m',3) 2Eu 1 1,1a (3m',3) Ag 1 1,1a (3m',3) Au 1 1,1a (3m',3) 1Eg 1 1,1a (3m',3) 1Eu 1 1,1a (3m',3) 2Eg 1 1,1a (3m',3) 2Eu 1 1,1a (3m',3). Eg 1 1,1a (3m',3). Eu 1 1,1b (3m',3) 1Eg 1 1,1b (3m',3) 1Eu 1 1,1b (3m',3) 2Eg 1 1,1b (3m',3) 2Eu 1 1,1b (3m',3) Ag 1 1,1b (3m',3) Au 1 1,1b (3m',3) 1Eg 1 1,1b (3m',3) 1Eu 1 1,1b (3m',3) 2Eg 1 1,1b (3m',3) 2Eu 1 1,1b (3m',3). Eg 1 1,1b (3m',3). Eu 1 1,2c (32',3) 1E 2 0,2c (32',3) 2E 2 0,2c (32',3) A1 2 0,2c (32',3) 1E 2 0,2c (32',3) 2E 2 0,2c (32',3) E 2 0,2d (32',3) 1E 2 0,2d (32',3) 2E 2 0,2d (32',3) A1 2 0,2d (32',3) 1E 2 0,2d (32',3) 2E 2 0,2d (32',3) E 2 0,3f (2'/m',1) Ag 3 0,3f (2'/m',1) Au 3 0,3f (2'/m',1) Ag 3 0,3f (2'/m',1) Au 3 0,3g (2'/m',1) Ag 3 0,3g (2'/m',1) Au 3 0,3g (2'/m',1) Ag 3 0,3g (2'/m',1) Au 3 0
1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0
0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0
0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0
0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0
0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0
0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0
0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0
0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1
0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0
0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1
0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0
0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1
1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0
0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0
0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0
0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0
