GM:(0,0,0)  A:(0,0,1/2)  H:(1/3,1/3,1/2)  K:(1/3,1/3,0)  L:(1/2,0,1/2)  M:(1/2,0,0)
GM:(0,0,0)  A:(0,0,1/2)  H:(1/3,1/3,1/2)  K:(1/3,1/3,0)  L:(1/2,0,1/2)  M:(1/2,0,0)
GM5+  GM5-  GM6+  GM6-  GM3+  GM3-  GM4+  GM4-  GM1+  GM1-  GM2+  GM2-  GM8  GM14  GM12  GM18  GM10  GM16  GM7  GM13  GM9  GM15  GM11  GM17  A5+  A5-  A6+  A6-  A3+  A3-  A4+  A4-  A1+  A1-  A2+  A2-  A8  A14  A12  A18  A10  A16  A7  A13  A9  A15  A11  A17  H5  H6  H3  H4  H1  H2  H8  H7  H12  H11  H10  H9  K5  K6  K3  K4  K1  K2  K8  K7  K12  K11  K10  K9  L1+  L1-  L2+  L2-  L4  L6  L3  L5  M1+  M1-  M2+  M2-  M4  M6  M3  M5
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1a (6/m,6/m) 1E1g 1 1;1a (6/m,6/m) 1E1u 1 1;1a (6/m,6/m) 1E2g 1 1;1a (6/m,6/m) 1E2u 1 1;1a (6/m,6/m) 2E1g 1 1;1a (6/m,6/m) 2E1u 1 1;1a (6/m,6/m) 2E2g 1 1;1a (6/m,6/m) 2E2u 1 1;1a (6/m,6/m) Ag 1 1;1a (6/m,6/m) Au 1 1;1a (6/m,6/m). Bg 1 1;1a (6/m,6/m). Bu 1 1;1a (6/m,6/m). 1E1g 1 1;1a (6/m,6/m). 1E1u 1 1;1a (6/m,6/m). 1E2g 1 1;1a (6/m,6/m). 1E2u 1 1;1a (6/m,6/m). 1E3g 1 1;1a (6/m,6/m). 1E3u 1 1;1a (6/m,6/m). 2E1g 1 1;1a (6/m,6/m). 2E1u 1 1;1a (6/m,6/m). 2E2g 1 1;1a (6/m,6/m). 2E2u 1 1;1a (6/m,6/m). 2E3g 1 1;1a (6/m,6/m). 2E3u 1 1;1b (6/m,6/m) 1E1g 1 1;1b (6/m,6/m) 1E1u 1 1;1b (6/m,6/m) 1E2g 1 1;1b (6/m,6/m) 1E2u 1 1;1b (6/m,6/m) 2E1g 1 1;1b (6/m,6/m) 2E1u 1 1;1b (6/m,6/m) 2E2g 1 1;1b (6/m,6/m) 2E2u 1 1;1b (6/m,6/m) Ag 1 1;1b (6/m,6/m) Au 1 1;1b (6/m,6/m). Bg 1 1;1b (6/m,6/m). Bu 1 1;1b (6/m,6/m). 1E1g 1 1;1b (6/m,6/m). 1E1u 1 1;1b (6/m,6/m). 1E2g 1 1;1b (6/m,6/m). 1E2u 1 1;1b (6/m,6/m). 1E3g 1 1;1b (6/m,6/m). 1E3u 1 1;1b (6/m,6/m). 2E1g 1 1;1b (6/m,6/m). 2E1u 1 1;1b (6/m,6/m). 2E2g 1 1;1b (6/m,6/m). 2E2u 1 1;1b (6/m,6/m). 2E3g 1 1;1b (6/m,6/m). 2E3u 1 1;2c (6,6) 1E' 2 0;2c (6,6) 1E'' 2 0;2c (6,6) 2E' 2 0;2c (6,6) 2E'' 2 0;2c (6,6) A' 2 0;2c (6,6) A'' 2 0;2c (6,6) 1E1 2 0;2c (6,6) 1E2 2 0;2c (6,6) 1E3 2 0;2c (6,6) 2E1 2 0;2c (6,6). 2E2 2 0;2c (6,6). 2E3 2 0;2d (6,6) 1E' 2 0;2d (6,6) 1E'' 2 0;2d (6,6) 2E' 2 0;2d (6,6) 2E'' 2 0;2d (6,6) A' 2 0;2d (6,6) A'' 2 0;2d (6,6) 1E1 2 0;2d (6,6) 1E2 2 0;2d (6,6) 1E3 2 0;2d (6,6) 2E1 2 0;2d (6,6). 2E2 2 0;2d (6,6). 2E3 2 0;3f (2/m,2/m) Ag 3 0;3f (2/m,2/m) Au 3 0;3f (2/m,2/m) Bg 3 0;3f (2/m,2/m) Bu 3 0;3f (2/m,2/m) 1Eg 3 0;3f (2/m,2/m) 1Eu 3 0;3f (2/m,2/m) 2Eg 3 0;3f (2/m,2/m) 2Eu 3 0;3g (2/m,2/m) Ag 3 0;3g (2/m,2/m) Au 3 0;3g (2/m,2/m) Bg 3 0;3g (2/m,2/m) Bu 3 0;3g (2/m,2/m) 1Eg 3 0;3g (2/m,2/m) 1Eu 3 0;3g (2/m,2/m) 2Eg 3 0;3g (2/m,2/m) 2Eu 3 0
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0
0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0
0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0
0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0
0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0
0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0
