GM:(0,0,0)  A:(0,0,1/2)  H:(1/3,1/3,1/2)  K:(1/3,1/3,0)  L:(1/2,0,1/2)  M:(1/2,0,0)
GM:(0,0,0)  A:(0,0,1/2)  H:(1/3,1/3,1/2)  K:(1/3,1/3,0)  L:(1/2,0,1/2)  M:(1/2,0,0)
GM3+GM5+  GM3-GM5-  GM4+GM6+  GM4-GM6-  GM1+  GM1-  GM2+  GM2-  GM7GM8  GM13GM14  GM12GM9  GM15GM18  GM10GM11  GM16GM17  A3-A5+  A3+A5-  A4-A6+  A4+A6-  A1-A1+  A2-A2+  A13A8  A14A7  A12A15  A18A9  A10A17  A11A16  H4H5  H3H6  H1H2  H8H8  H7H7  H10H12  H11H9  K3K5  K4K6  K1  K2  K7K8  K12K9  K10K11  L1-L1+  L2-L2+  L4L5  L3L6  M1+  M1-  M2+  M2-  M3M4  M5M6
2 2 2 2 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 2 2 2 2 2 2 2 1 1 1 1 2 2
2a (6/m,6/m) 1E1g 2 1;2a (6/m,6/m) 1E1u 2 1;2a (6/m,6/m) 1E2g 2 1;2a (6/m,6/m) 1E2u 2 1;2a (6/m,6/m) 2E1g 2 1;2a (6/m,6/m) 2E1u 2 1;2a (6/m,6/m) 2E2g 2 1;2a (6/m,6/m) 2E2u 2 1;2a (6/m,6/m) Ag 2 1;2a (6/m,6/m) Au 2 1;2a (6/m,6/m). Bg 2 1;2a (6/m,6/m). Bu 2 1;2a (6/m,6/m). 1E1g 2 1;2a (6/m,6/m). 1E1u 2 1;2a (6/m,6/m). 1E2g 2 1;2a (6/m,6/m). 1E2u 2 1;2a (6/m,6/m). 1E3g 2 1;2a (6/m,6/m). 1E3u 2 1;2a (6/m,6/m). 2E1g 2 1;2a (6/m,6/m). 2E1u 2 1;2a (6/m,6/m). 2E2g 2 1;2a (6/m,6/m). 2E2u 2 1;2a (6/m,6/m). 2E3g 2 1;2a (6/m,6/m). 2E3u 2 1;2b (6/m',6) A 2 1;2b (6/m',6) B 2 1;4c (6,6) 1E' 4 0;4c (6,6) 1E'' 4 0;4c (6,6) 2E' 4 0;4c (6,6) 2E'' 4 0;4c (6,6) A' 4 0;4c (6,6) A'' 4 0;4c (6,6) 1E1 4 0;4c (6,6) 1E2 4 0;4c (6,6) 1E3 4 0;4c (6,6) 2E1 4 0;4c (6,6). 2E2 4 0;4c (6,6). 2E3 4 0;4d (6',3) A1 4 1;4d (6',3) E 4 0;6f (2/m,2/m) Ag 6 0;6f (2/m,2/m) Au 6 0;6f (2/m,2/m) Bg 6 0;6f (2/m,2/m) Bu 6 0;6f (2/m,2/m) 1Eg 6 0;6f (2/m,2/m) 1Eu 6 0;6f (2/m,2/m) 2Eg 6 0;6f (2/m,2/m) 2Eu 6 0;6g (2/m',2) A 6 0;6g (2/m',2) B 6 0
1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0
0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0
0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0
0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0
0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0
0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0
0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0
