GM:(0,0,0)  A:(0,0,1/2)  H:(1/3,1/3,1/2)  K:(1/3,1/3,0)  L:(1/2,0,1/2)  M:(1/2,0,0)
GM:(0,0,0)  A:(0,0,1/2)  H:(1/3,1/3,1/2)  K:(1/3,1/3,0)  L:(1/2,0,1/2)  M:(1/2,0,0)
GM5+  GM5-  GM6+  GM6-  GM3+  GM3-  GM4+  GM4-  GM1+  GM1-  GM2+  GM2-  GM8  GM14  GM12  GM18  GM10  GM16  GM7  GM13  GM9  GM15  GM11  GM17  A5-A5+  A6-A6+  A3-A3+  A4-A4+  A1-A1+  A2-A2+  A14A8  A12A18  A10A16  A13A7  A15A9  A11A17  H5H6  H3H4  H1H2  H7H8  H11H12  H10H9  K5  K6  K3  K4  K1  K2  K7  K8  K11  K12  K9  K10  L1-L1+  L2-L2+  L4L6  L3L5  M1+  M1-  M2+  M2-  M4  M6  M3  M5
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 1 1 1 1 1 1 1 1
2a (62'2',6) 1E1 2 1;2a (62'2',6) 1E2 2 1;2a (62'2',6) 2E1 2 1;2a (62'2',6) 2E2 2 1;2a (62'2',6) A 2 1;2a (62'2',6) B 2 1;2a (62'2',6) 1E1 2 1;2a (62'2',6) 1E2 2 1;2a (62'2',6) 1E3 2 1;2a (62'2',6) 2E1 2 1;2a (62'2',6). 2E2 2 1;2a (62'2',6). 2E3 2 1;2b (6/m,6/m) 1E1g 2 1;2b (6/m,6/m) 1E1u 2 1;2b (6/m,6/m) 1E2g 2 1;2b (6/m,6/m) 1E2u 2 1;2b (6/m,6/m) 2E1g 2 1;2b (6/m,6/m) 2E1u 2 1;2b (6/m,6/m) 2E2g 2 1;2b (6/m,6/m) 2E2u 2 1;2b (6/m,6/m) Ag 2 1;2b (6/m,6/m) Au 2 1;2b (6/m,6/m). Bg 2 1;2b (6/m,6/m). Bu 2 1;2b (6/m,6/m). 1E1g 2 1;2b (6/m,6/m). 1E1u 2 1;2b (6/m,6/m). 1E2g 2 1;2b (6/m,6/m). 1E2u 2 1;2b (6/m,6/m). 1E3g 2 1;2b (6/m,6/m). 1E3u 2 1;2b (6/m,6/m). 2E1g 2 1;2b (6/m,6/m). 2E1u 2 1;2b (6/m,6/m). 2E2g 2 1;2b (6/m,6/m). 2E2u 2 1;2b (6/m,6/m). 2E3g 2 1;2b (6/m,6/m). 2E3u 2 1;4c (32',3) 1E 4 0;4c (32',3) 2E 4 0;4c (32',3) A1 4 0;4c (32',3) 1E 4 0;4c (32',3) 2E 4 0;4c (32',3) E 4 0;4d (6,6) 1E' 4 0;4d (6,6) 1E'' 4 0;4d (6,6) 2E' 4 0;4d (6,6) 2E'' 4 0;4d (6,6) A' 4 0;4d (6,6) A'' 4 0;4d (6,6) 1E1 4 0;4d (6,6) 1E2 4 0;4d (6,6) 1E3 4 0;4d (6,6) 2E1 4 0;4d (6,6). 2E2 4 0;4d (6,6). 2E3 4 0;6f (2'2'2,2) A 6 0;6f (2'2'2,2) B 6 0;6f (2'2'2,2) 1E 6 0;6f (2'2'2,2) 2E 6 0;6g (2/m,2/m) Ag 6 0;6g (2/m,2/m) Au 6 0;6g (2/m,2/m) Bg 6 0;6g (2/m,2/m) Bu 6 0;6g (2/m,2/m) 1Eg 6 0;6g (2/m,2/m) 1Eu 6 0;6g (2/m,2/m) 2Eg 6 0;6g (2/m,2/m) 2Eu 6 0
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0
0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0
0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0
0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0
0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0
