GM:(0,0,0)  M:(1/2,1/2,0)  R:(1/2,1/2,1/2)  X:(0,1/2,0)
GM:(0,0,0)  M:(1/2,1/2,0)  R:(1/2,1/2,1/2)  X:(0,1/2,0)
GM2GM3  GM1  GM4  GM6GM7  GM5  M1  M2  M3  M4  M5  R2R3  R1  R4  R6R7  R5  X1  X2  X3  X4  X5
2 1 3 4 2 1 1 1 1 2 2 1 3 4 2 1 1 1 1 2
1a (231',23) 1E2E 2 1;1a (231',23) A 1 1;1a (231',23) T 3 1;1a (231',23) 1F2F 4 1;1a (231',23) E 2 1;1b (231',23) 1E2E 2 1;1b (231',23) A 1 1;1b (231',23) T 3 1;1b (231',23) 1F2F 4 1;1b (231',23) E 2 1;3c (2221',222) A1 3 1;3c (2221',222) B1 3 1;3c (2221',222) B2 3 1;3c (2221',222) B3 3 1;3c (2221',222) E 6 0;3d (2221',222) A1 3 1;3d (2221',222) B1 3 1;3d (2221',222) B2 3 1;3d (2221',222) B3 3 1;3d (2221',222) E 6 0
1 0 0 0 0 2 0 0 0 0 1 0 0 0 0 2 0 0 0 0
0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0
0 0 1 0 0 0 1 1 1 0 0 0 1 0 0 0 1 1 1 0
0 0 0 1 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 2
0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1
1 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 2 0
0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0
0 0 1 0 0 1 0 1 1 0 0 0 1 0 0 1 1 1 0 0
0 0 0 1 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 2
0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1
1 1 0 0 0 0 1 1 1 0 0 0 1 0 0 1 0 0 2 0
0 0 1 0 0 1 0 2 0 0 0 0 1 0 0 1 0 2 0 0
0 0 1 0 0 1 0 0 2 0 0 0 1 0 0 1 2 0 0 0
0 0 1 0 0 1 2 0 0 0 1 1 0 0 0 0 1 1 1 0
0 0 0 1 1 0 0 0 0 3 0 0 0 1 1 0 0 0 0 3
1 1 0 0 0 1 0 1 1 0 0 0 1 0 0 2 0 0 1 0
0 0 1 0 0 0 1 0 2 0 0 0 1 0 0 0 2 0 1 0
0 0 1 0 0 0 1 2 0 0 0 0 1 0 0 0 0 2 1 0
0 0 1 0 0 2 1 0 0 0 1 1 0 0 0 1 1 1 0 0
0 0 0 1 1 0 0 0 0 3 0 0 0 1 1 0 0 0 0 3

0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
-1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
1 0 2 0 0 0 0 -1 0 0 -1 0 0 0 0 0 0 0 0 0
0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-1 1 -1 0 0 0 0 1 0 0 3 0 0 0 0 -1 0 0 0 0
1 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0
-1 0 -1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0
-2 0 -2 0 0 0 0 1 1 0 2 0 0 0 0 0 0 0 0 0
0 0 0 -2 -1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
