GM:(0,0,0)  R:(1/2,1/2,1/2)  T:(0,1/2,1/2)  U:(1/2,0,1/2)  V:(1/2,1/2,0)  X:(1/2,0,0)  Y:(0,1/2,0)  Z:(0,0,1/2)
GM:(0,0,0)  R:(1/2,1/2,1/2)  T:(0,1/2,1/2)  U:(1/2,0,1/2)  V:(1/2,1/2,0)  X:(1/2,0,0)  Y:(0,1/2,0)  Z:(0,0,1/2)
GM1+  GM1-  GM3  GM2  R1+  R1-  R3  R2  T1+  T1-  T3  T2  U1+  U1-  U3  U2  V1+  V1-  V3  V2  X1+  X1-  X3  X2  Y1+  Y1-  Y3  Y2  Z1+  Z1-  Z3  Z2
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1a (1,1) Ag 1 1;1a (1,1) Au 1 1;1a (1,1) Ag 1 1;1a (1,1) Au 1 1;1b (1,1) Ag 1 1;1b (1,1) Au 1 1;1b (1,1) Ag 1 1;1b (1,1) Au 1 1;1c (1,1) Ag 1 1;1c (1,1) Au 1 1;1c (1,1) Ag 1 1;1c (1,1) Au 1 1;1d (1,1) Ag 1 1;1d (1,1) Au 1 1;1d (1,1) Ag 1 1;1d (1,1) Au 1 1;1e (1,1) Ag 1 1;1e (1,1) Au 1 1;1e (1,1) Ag 1 1;1e (1,1) Au 1 1;1f (1,1) Ag 1 1;1f (1,1) Au 1 1;1f (1,1) Ag 1 1;1f (1,1) Au 1 1;1g (1,1) Ag 1 1;1g (1,1) Au 1 1;1g (1,1) Ag 1 1;1g (1,1) Au 1 1;1h (1,1) Ag 1 1;1h (1,1) Au 1 1;1h (1,1) Ag 1 1;1h (1,1) Au 1 1
1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0
0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0
0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0
0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1
1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0
0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0
0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1
0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0
1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0
0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0
0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0
0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1
1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0
0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0
0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0
0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1
1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0
0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0
0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0
