GM:(0,0,0)  R:(1/2,1/2,1/2)  T:(0,1/2,1/2)  U:(1/2,0,1/2)  V:(1/2,1/2,0)  X:(1/2,0,0)  Y:(0,1/2,0)  Z:(0,0,1/2)
GM:(0,0,0)  R:(1/2,1/2,1/2)  T:(0,1/2,1/2)  U:(1/2,0,1/2)  V:(1/2,1/2,0)  X:(1/2,0,0)  Y:(0,1/2,0)  Z:(0,0,1/2)
GM1+  GM1-  GM3GM3  GM2GM2  R1+  R1-  R3R3  R2R2  T1+  T1-  T3T3  T2T2  U1+  U1-  U3U3  U2U2  V1+  V1-  V3V3  V2V2  X1+  X1-  X3X3  X2X2  Y1+  Y1-  Y3Y3  Y2Y2  Z1+  Z1-  Z3Z3  Z2Z2
1 1 2 2 1 1 2 2 1 1 2 2 1 1 2 2 1 1 2 2 1 1 2 2 1 1 2 2 1 1 2 2
1a (11',1) Ag 1 1,1a (11',1) Au 1 1,1a (11',1) AgAg 2 1,1a (11',1) AuAu 2 1,1b (11',1) Ag 1 1,1b (11',1) Au 1 1,1b (11',1) AgAg 2 1,1b (11',1) AuAu 2 1,1c (11',1) Ag 1 1,1c (11',1) Au 1 1,1c (11',1) AgAg 2 1,1c (11',1) AuAu 2 1,1d (11',1) Ag 1 1,1d (11',1) Au 1 1,1d (11',1) AgAg 2 1,1d (11',1) AuAu 2 1,1e (11',1) Ag 1 1,1e (11',1) Au 1 1,1e (11',1) AgAg 2 1,1e (11',1) AuAu 2 1,1f (11',1) Ag 1 1,1f (11',1) Au 1 1,1f (11',1) AgAg 2 1,1f (11',1) AuAu 2 1,1g (11',1) Ag 1 1,1g (11',1) Au 1 1,1g (11',1) AgAg 2 1,1g (11',1) AuAu 2 1,1h (11',1) Ag 1 1,1h (11',1) Au 1 1,1h (11',1) AgAg 2 1,1h (11',1) AuAu 2 1
1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0
0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0
0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0
0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1
1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0
0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0
0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1
0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0
1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0
0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0
0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0
0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1
1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0
0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0
0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0
0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1
1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0
0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0
0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0
0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1
1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0
0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0
0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1
