GM:(0,0,0)  M:(1/2,1/2,0)  R:(1/2,1/2,1/2)  X:(0,1/2,0)
GM:(0,0,0)  M:(1/2,1/2,0)  R:(1/2,1/2,1/2)  X:(0,1/2,0)
GM1-  GM2+GM3+  GM2-GM3-  GM1+  GM4+  GM4-  GM6GM7  GM10GM9  GM5  GM8  M1-  M1+  M2+  M3+  M4+  M2-  M3-  M4-  M5  M6  R1-  R2+R3+  R2-R3-  R1+  R4+  R4-  R6R7  R10R9  R5  R8  X1-  X1+  X2+  X3+  X4+  X2-  X3-  X4-  X5  X6
1 2 2 1 3 3 4 4 2 2 1 1 1 1 1 1 1 1 2 2 1 2 2 1 3 3 4 4 2 2 1 1 1 1 1 1 1 1 2 2
1a (m31',m3) 1Au 1 1,1a (m31',m3) 1Eg2Eg 2 1,1a (m31',m3) 1Eu2Eu 2 1,1a (m31',m3) Ag 1 1,1a (m31',m3) Tg 3 1,1a (m31',m3) Tu 3 1,1a (m31',m3) 1Fg2Fg 4 1,1a (m31',m3) 1Fu2Fu 4 1,1a (m31',m3) Eg 2 1,1a (m31',m3) Eu 2 1,1b (m31',m3) 1Au 1 1,1b (m31',m3) 1Eg2Eg 2 1,1b (m31',m3) 1Eu2Eu 2 1,1b (m31',m3) Ag 1 1,1b (m31',m3) Tg 3 1,1b (m31',m3) Tu 3 1,1b (m31',m3) 1Fg2Fg 4 1,1b (m31',m3) 1Fu2Fu 4 1,1b (m31',m3) Eg 2 1,1b (m31',m3) Eu 2 1,3c (mmm1',mmm) Ag 3 1,3c (mmm1',mmm) Au 3 1,3c (mmm1',mmm) B1g 3 1,3c (mmm1',mmm) B1u 3 1,3c (mmm1',mmm) B2g 3 1,3c (mmm1',mmm) B2u 3 1,3c (mmm1',mmm) B3g 3 1,3c (mmm1',mmm) B3u 3 1,3c (mmm1',mmm) Eg 6 0,3c (mmm1',mmm) Eu 6 0,3d (mmm1',mmm) Ag 3 1,3d (mmm1',mmm) Au 3 1,3d (mmm1',mmm) B1g 3 1,3d (mmm1',mmm) B1u 3 1,3d (mmm1',mmm) B2g 3 1,3d (mmm1',mmm) B2u 3 1,3d (mmm1',mmm) B3g 3 1,3d (mmm1',mmm) B3u 3 1,3d (mmm1',mmm) Eg 6 0,3d (mmm1',mmm) Eu 6 0
1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0
0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0
0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0
0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2
