GM:(0,0,0)  M:(1/2,1/2,0)  R:(1/2,1/2,1/2)  X:(0,1/2,0)
GM:(0,0,0)  M:(1/2,1/2,0)  R:(1/2,1/2,1/2)  X:(0,1/2,0)
GM2+GM3+  GM2-GM3-  GM1+  GM1-  GM4+  GM4-  GM6GM7  GM10GM9  GM5  GM8  M1  M2  M3M4  R2+R3+  R2-R3-  R1+  R1-  R4+  R4-  R6R7  R10R9  R5  R8  X1  X2  X3X4
2 2 1 1 3 3 4 4 2 2 2 2 4 2 2 1 1 3 3 4 4 2 2 2 2 4
2a (231',23) 1E2E 4 1,2a (231',23) A 2 1,2a (231',23) T 6 1,2a (231',23) 1F2F 8 0,2a (231',23) E 4 1,4b (31',3) 1Eg2Eg 8 1,4b (31',3) 1Eu2Eu 8 1,4b (31',3) Ag 4 1,4b (31',3) Au 4 1,4b (31',3) 1Eg2Eg 8 0,4b (31',3) 1Eu2Eu 8 0,4b (31',3) EgEg 8 0,4b (31',3) EuEu 8 0,4c (31',3) 1Eg2Eg 8 1,4c (31',3) 1Eu2Eu 8 1,4c (31',3) Ag 4 1,4c (31',3) Au 4 1,4c (31',3) 1Eg2Eg 8 0,4c (31',3) 1Eu2Eu 8 0,4c (31',3) EgEg 8 0,4c (31',3) EuEu 8 0,6d (2221',222) A1 6 1,6d (2221',222) B1 6 1,6d (2221',222) B2 6 1,6d (2221',222) B3 6 1,6d (2221',222) E 2 0
1 1 0 0 0 0 0 0 0 0 2 0 0 1 1 0 0 0 0 0 0 0 0 2 0 0
0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0
0 0 0 0 1 1 0 0 0 0 1 2 0 0 0 0 0 1 1 0 0 0 0 1 2 0
0 0 0 0 0 0 1 1 0 0 0 0 2 0 0 0 0 0 0 1 1 0 0 0 0 2
0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1
1 0 0 0 2 0 0 0 0 0 2 2 0 1 0 0 0 2 0 0 0 0 0 2 2 0
0 1 0 0 0 2 0 0 0 0 2 2 0 0 1 0 0 0 2 0 0 0 0 2 2 0
0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 1 1 0
0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 1 1 0
0 0 0 0 0 0 1 0 2 0 0 0 2 0 0 0 0 0 0 1 0 2 0 0 0 2
0 0 0 0 0 0 0 1 0 2 0 0 2 0 0 0 0 0 0 0 1 0 2 0 0 2
0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 2
0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 2
1 0 0 0 2 0 0 0 0 0 2 2 0 0 1 0 0 0 2 0 0 0 0 2 2 0
0 1 0 0 0 2 0 0 0 0 2 2 0 1 0 0 0 2 0 0 0 0 0 2 2 0
0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 1 1 0
0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 1 1 0
0 0 0 0 0 0 1 0 2 0 0 0 2 0 0 0 0 0 0 0 1 0 2 0 0 2
0 0 0 0 0 0 0 1 0 2 0 0 2 0 0 0 0 0 0 1 0 2 0 0 0 2
0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 2
0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 2
1 1 1 1 0 0 0 0 0 0 1 2 0 0 0 0 0 1 1 0 0 0 0 3 0 0
0 0 0 0 1 1 0 0 0 0 1 2 0 0 0 0 0 1 1 0 0 0 0 1 2 0
0 0 0 0 1 1 0 0 0 0 1 2 0 0 0 0 0 1 1 0 0 0 0 1 2 0
0 0 0 0 1 1 0 0 0 0 3 0 0 1 1 1 1 0 0 0 0 0 0 1 2 0
0 0 0 0 0 0 1 1 1 1 0 0 3 0 0 0 0 0 0 1 1 1 1 0 0 3

