GM:(0,0,0)  L:(1/2,1/2,1/2)  W:(1/2,1,0)  X:(0,1,0)
GM:(0,0,0)  L:(1/2,1/2,1/2)  W:(1/2,1,0)  X:(0,1,0)
GM1-  GM2+GM3+  GM2-GM3-  GM1+  GM4+  GM4-  GM6GM7  GM10GM9  GM5  GM8  L1-L1+  L2+L3-  L2-L3+  L4L7  L5L9  L6L8  W2  W1  W3  W4  W5  X1-  X1+  X2+  X3+  X4+  X2-  X3-  X4-  X5  X6
1 2 2 1 3 3 4 4 2 2 2 2 2 2 2 2 1 1 1 1 2 1 1 1 1 1 1 1 1 2 2
8a (m3,m3) 1Au 2 1,8a (m3,m3) 1Eg 2 1,8a (m3,m3) 1Eu 2 1,8a (m3,m3) 2Eg 2 1,8a (m3,m3) 2Eu 2 1,8a (m3,m3) Ag 2 1,8a (m3,m3) Tg 6 1,8a (m3,m3) Tu 6 1,8a (m3,m3) 1Fg 4 1,8a (m3,m3) 1Fu 4 1,8a (m3,m3). 2Fg 4 1,8a (m3,m3). 2Fu 4 1,8a (m3,m3). Eg 4 0,8a (m3,m3). Eu 4 0,8b (m'3',23) 1E2E 4 1,8b (m'3',23) A 2 1,8b (m'3',23) T 6 1,8b (m'3',23) 1F2F 8 0,8b (m'3',23) E 4 0,24c (m'm'm,2/m) Ag 6 1,24c (m'm'm,2/m) Au 6 1,24c (m'm'm,2/m) Bg 6 1,24c (m'm'm,2/m) Bu 6 1,24c (m'm'm,2/m) 1Eg 6 0,24c (m'm'm,2/m) 1Eu 6 0,24c (m'm'm,2/m) 2Eg 6 0,24c (m'm'm,2/m) 2Eu 6 0,24d (m'mm,mm2) A1 6 0,24d (m'mm,mm2) A2 6 0,24d (m'mm,mm2) B1 6 1,24d (m'mm,mm2) B2 6 1
2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0
0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0
0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0
0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0
0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0
0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0
0 0 0 0 2 0 0 0 0 0 1 1 1 0 0 0 2 0 2 2 0 0 0 2 2 2 0 0 0 0 0
0 0 0 0 0 2 0 0 0 0 1 1 1 0 0 0 0 2 2 2 0 0 0 0 0 0 2 2 2 0 0
0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0
0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2
