GM:(0,0,0)  M:(1/2,1/2,0)  R:(1/2,1/2,1/2)  X:(0,1/2,0)
GM:(0,0,0)  M:(1/2,1/2,0)  R:(1/2,1/2,1/2)  X:(0,1/2,0)
GM1  GM2  GM3  GM4  GM5  GM6  GM7  GM8  M1  M2  M3  M5  M4  M7  M6  R1  R2  R3  R4  R5  R6  R7  R8  X1  X2  X3  X5  X4  X6  X7
1 1 2 3 3 2 2 4 1 1 1 2 1 2 2 1 1 2 3 3 2 2 4 1 1 1 2 1 2 2
1a (4321',432) A1 1 1;1a (4321',432) A2 1 1;1a (4321',432) E 2 1;1a (4321',432) T1 3 1;1a (4321',432) T2 3 1;1a (4321',432) E1 2 1;1a (4321',432) E2 2 1;1a (4321',432) F 4 1;1b (4321',432) A1 1 1;1b (4321',432) A2 1 1;1b (4321',432) E 2 1;1b (4321',432) T1 3 1;1b (4321',432) T2 3 1;1b (4321',432) E1 2 1;1b (4321',432) E2 2 1;1b (4321',432) F 4 1;3c (4221',422) A1 3 1;3c (4221',422) A2 3 1;3c (4221',422) B1 3 1;3c (4221',422) B2 3 1;3c (4221',422) E 6 0;3c (4221',422) E1 6 0;3c (4221',422) E2 6 0;3d (4221',422) A1 3 1;3d (4221',422) A2 3 1;3d (4221',422) B1 3 1;3d (4221',422) B2 3 1;3d (4221',422) E 6 0;3d (4221',422) E1 6 0;3d (4221',422) E2 6 0
1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0
0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0
0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0
0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0
0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0
0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1
1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0
0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0
0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0
0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0
0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0
0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0
0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1
1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0
0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0
0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0
0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0
0 0 0 1 1 0 0 0 1 1 0 2 0 0 0 0 0 0 1 1 0 0 0 1 1 0 2 0 0 0
0 0 0 0 0 1 0 1 0 0 0 0 0 1 2 0 0 0 0 0 0 1 1 0 0 0 0 0 2 1
0 0 0 0 0 0 1 1 0 0 0 0 0 2 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 2
1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0
0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0
0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0
0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0
0 0 0 1 1 0 0 0 0 0 1 2 1 0 0 0 0 0 1 1 0 0 0 0 0 1 2 1 0 0
0 0 0 0 0 1 0 1 0 0 0 0 0 2 1 0 0 0 0 0 1 0 1 0 0 0 0 0 2 1
0 0 0 0 0 0 1 1 0 0 0 0 0 1 2 0 0 0 0 0 0 1 1 0 0 0 0 0 1 2

1 0 0 0 1 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 0 0 1 0 0 0 0 0 0 0 -1 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-1 0 0 0 -1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 0 1 0 0 0 0 0 1 0 -1 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 -1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
