GM:(0,0,0)  M:(1/2,1/2,0)  R:(1/2,1/2,1/2)  X:(0,1/2,0)
GM:(0,0,0)  M:(1/2,1/2,0)  R:(1/2,1/2,1/2)  X:(0,1/2,0)
GM1  GM2  GM3  GM4  GM5  GM6  GM7  GM8  M1M4  M2M3  M5  M6M7  R1R2  R3  R4R5  R6R7  R8  X1X3  X2X4  X5  X6  X7
1 1 2 3 3 2 2 4 2 2 2 4 2 2 6 4 4 2 2 2 2 2
2a (432,432) A1 2 1;2a (432,432) A2 2 1;2a (432,432) E 4 1;2a (432,432) T1 6 1;2a (432,432) T2 6 1;2a (432,432) E1 4 1;2a (432,432) E2 4 1;2a (432,432) F 8 0;6b (422,422) A1 6 1;6b (422,422) A2 6 1;6b (422,422) B1 6 1;6b (422,422) B2 6 1;8c (32',3) 1E 8 1;8c (32',3) 2E 8 1;8c (32',3) A1 8 1;8c (32',3) 1E 8 0;8c (32',3) 2E 8 0;8c (32',3) E 8 0;12d (2'2'2,2) A 2 0;12d (2'2'2,2) B 2 0;12d (2'2'2,2) 1E 2 0;12d (2'2'2,2) 2E 2 0
2 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0
0 2 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0
0 0 2 0 0 0 0 0 1 1 0 0 0 2 0 0 0 1 1 0 0 0
0 0 0 2 0 0 0 0 0 1 2 0 0 0 1 0 0 1 0 2 0 0
0 0 0 0 2 0 0 0 1 0 2 0 0 0 1 0 0 0 1 2 0 0
0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 1 0 0 0 0 2 0
0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 1 0 0 0 0 0 2
0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 2 0 0 0 2 2
2 0 2 0 0 0 0 0 1 0 2 0 0 0 1 0 0 2 1 0 0 0
0 0 0 2 0 0 0 0 1 2 0 0 1 2 0 0 0 1 0 2 0 0
0 2 2 0 0 0 0 0 0 1 2 0 0 0 1 0 0 1 2 0 0 0
0 0 0 0 2 0 0 0 2 1 0 0 1 2 0 0 0 0 1 2 0 0
0 0 1 1 1 0 0 0 1 1 2 0 0 1 1 0 0 1 1 2 0 0
0 0 1 1 1 0 0 0 1 1 2 0 0 1 1 0 0 1 1 2 0 0
1 1 0 1 1 0 0 0 1 1 2 0 1 0 1 0 0 1 1 2 0 0
0 0 0 0 0 1 1 1 0 0 0 2 0 0 0 1 1 0 0 0 2 2
0 0 0 0 0 1 1 1 0 0 0 2 0 0 0 1 1 0 0 0 2 2
0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 2 0 0 0 2 2
1 1 2 1 1 0 0 0 1 1 4 0 0 0 2 0 0 2 2 2 0 0
0 0 0 2 2 0 0 0 2 2 2 0 1 2 1 0 0 1 1 4 0 0
0 0 0 0 0 1 1 2 0 0 0 3 0 0 0 1 2 0 0 0 3 3
0 0 0 0 0 1 1 2 0 0 0 3 0 0 0 1 2 0 0 0 3 3

0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
-1 0 0 0 -1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1 0 0 0 -1 0 0 0 0 0 0 0 0 1 0 0 0 0
0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 1 0 1 0 0 0 -2 0 0 0 0 0 0 0 0 0 0 0 0 0
