GM:(0,0,0)  M:(1/2,1/2,0)  R:(1/2,1/2,1/2)  X:(0,1/2,0)
GM:(0,0,0)  M:(1/2,1/2,0)  R:(1/2,1/2,1/2)  X:(0,1/2,0)
GM1+  GM1-  GM2+  GM2-  GM3+  GM3-  GM4+  GM4-  GM5+  GM5-  GM6  GM8  GM7  GM9  GM10  GM11  M1+  M1-  M2+  M2-  M3+  M5+  M3-  M5-  M4+  M4-  M7  M9  M6  M8  R1+  R1-  R2+  R2-  R3+  R3-  R4+  R4-  R5+  R5-  R6  R8  R7  R9  R10  R11  X1+  X1-  X2+  X2-  X3+  X5+  X3-  X5-  X4+  X4-  X6  X8  X7  X9
1 1 1 1 2 2 3 3 3 3 2 2 2 2 4 4 1 1 1 1 1 2 1 2 1 1 2 2 2 2 1 1 1 1 2 2 3 3 3 3 2 2 2 2 4 4 1 1 1 1 1 2 1 2 1 1 2 2 2 2
1a (m3m,m3m) A1g 1 1,1a (m3m,m3m) A1u 1 1,1a (m3m,m3m) A2g 1 1,1a (m3m,m3m) A2u 1 1,1a (m3m,m3m) Eg 2 1,1a (m3m,m3m) Eu 2 1,1a (m3m,m3m) T1g 3 1,1a (m3m,m3m) T1u 3 1,1a (m3m,m3m) T2g 3 1,1a (m3m,m3m) T2u 3 1,1a (m3m,m3m). E1g 2 1,1a (m3m,m3m). E1u 2 1,1a (m3m,m3m). E2g 2 1,1a (m3m,m3m). E2u 2 1,1a (m3m,m3m). Fg 4 1,1a (m3m,m3m). Fu 4 1,1b (m3m,m3m) A1g 1 1,1b (m3m,m3m) A1u 1 1,1b (m3m,m3m) A2g 1 1,1b (m3m,m3m) A2u 1 1,1b (m3m,m3m) Eg 2 1,1b (m3m,m3m) Eu 2 1,1b (m3m,m3m) T1g 3 1,1b (m3m,m3m) T1u 3 1,1b (m3m,m3m) T2g 3 1,1b (m3m,m3m) T2u 3 1,1b (m3m,m3m). E1g 2 1,1b (m3m,m3m). E1u 2 1,1b (m3m,m3m). E2g 2 1,1b (m3m,m3m). E2u 2 1,1b (m3m,m3m). Fg 4 1,1b (m3m,m3m). Fu 4 1,3c (4/mmm,4/mmm) A1g 3 1,3c (4/mmm,4/mmm) A1u 3 1,3c (4/mmm,4/mmm) A2g 3 1,3c (4/mmm,4/mmm) A2u 3 1,3c (4/mmm,4/mmm) B1g 3 1,3c (4/mmm,4/mmm) B1u 3 1,3c (4/mmm,4/mmm) B2g 3 1,3c (4/mmm,4/mmm) B2u 3 1,3c (4/mmm,4/mmm) Eg 6 1,3c (4/mmm,4/mmm) Eu 6 1,3c (4/mmm,4/mmm). E1g 6 0,3c (4/mmm,4/mmm). E1u 6 0,3c (4/mmm,4/mmm). E2g 6 0,3c (4/mmm,4/mmm). E2u 6 0,3d (4/mmm,4/mmm) A1g 3 1,3d (4/mmm,4/mmm) A1u 3 1,3d (4/mmm,4/mmm) A2g 3 1,3d (4/mmm,4/mmm) A2u 3 1,3d (4/mmm,4/mmm) B1g 3 1,3d (4/mmm,4/mmm) B1u 3 1,3d (4/mmm,4/mmm) B2g 3 1,3d (4/mmm,4/mmm) B2u 3 1,3d (4/mmm,4/mmm) Eg 6 1,3d (4/mmm,4/mmm) Eu 6 1,3d (4/mmm,4/mmm). E1g 6 0,3d (4/mmm,4/mmm). E1u 6 0,3d (4/mmm,4/mmm). E2g 6 0,3d (4/mmm,4/mmm). E2u 6 0
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
