GM:(0,0,0)  L:(1/2,1/2,1/2)  W:(1/2,1,0)  X:(0,1,0)
GM:(0,0,0)  L:(1/2,1/2,1/2)  W:(1/2,1,0)  X:(0,1,0)
GM3  GM1  GM2  GM4  GM5  GM8  GM6  GM7  L3  L1  L2  L4L5  L6  W3  W4  W1W2  W5W8  W6W7  X3  X4  X1  X2  X5  X6  X7
2 1 1 3 3 4 2 2 2 1 1 2 2 1 1 2 2 2 1 1 1 1 2 2 2
8a (4'32',23) 1E 2 1;8a (4'32',23) 2E 2 1;8a (4'32',23) A 2 1;8a (4'32',23) T 6 1;8a (4'32',23) 1F 4 1;8a (4'32',23) 2F 4 1;8a (4'32',23) E 4 0;8b (m'3',23) 1E2E 4 0;8b (m'3',23) A 2 1;8b (m'3',23) T 6 1;8b (m'3',23) 1F2F 8 0;8b (m'3',23) E 4 0;24c (42'm',4) 1E 6 1;24c (42'm',4) 2E 6 1;24c (42'm',4) A 6 0;24c (42'm',4) B 6 0;24c (42'm',4) 1E1 6 0;24c (42'm',4) 1E2 6 0;24c (42'm',4) 2E1 6 0;24c (42'm',4) 2E2 6 0;24d (4'/m',4) 1E2E 2 0;24d (4'/m',4) A 6 0;24d (4'/m',4) B 6 0;24d (4'/m',4) 1E12E1 2 0;24d (4'/m',4) 1E22E2 2 0
1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0
1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0
0 1 1 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 1 1 0 0 0 0 0
0 0 0 1 1 0 0 0 2 1 1 0 0 1 1 2 0 0 0 0 1 1 2 0 0
0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 1 1
0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 1 1
0 0 0 0 0 0 1 1 0 0 0 0 2 0 0 0 1 1 0 0 0 0 0 1 1
2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 2 2 0 0 0
0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0
0 0 0 1 1 0 0 0 2 1 1 0 0 2 2 1 0 0 1 1 0 0 2 0 0
0 0 0 0 0 2 0 0 0 0 0 2 2 0 0 0 2 2 0 0 0 0 0 2 2
0 0 0 0 0 0 1 1 0 0 0 0 2 0 0 0 1 1 0 0 0 0 0 1 1
0 0 0 1 1 0 0 0 2 1 1 0 0 1 3 1 0 0 1 1 0 0 2 0 0
0 0 0 1 1 0 0 0 2 1 1 0 0 3 1 1 0 0 1 1 0 0 2 0 0
1 1 0 0 1 0 0 0 2 1 1 0 0 1 1 2 0 0 0 1 2 1 1 0 0
1 0 1 1 0 0 0 0 2 1 1 0 0 1 1 2 0 0 1 0 1 2 1 0 0
0 0 0 0 0 1 1 0 0 0 0 1 2 0 0 0 1 2 0 0 0 0 0 1 2
0 0 0 0 0 1 0 1 0 0 0 1 2 0 0 0 2 1 0 0 0 0 0 2 1
0 0 0 0 0 1 1 0 0 0 0 1 2 0 0 0 2 1 0 0 0 0 0 1 2
0 0 0 0 0 1 0 1 0 0 0 1 2 0 0 0 1 2 0 0 0 0 0 2 1
0 0 0 2 2 0 0 0 4 2 2 0 0 2 2 4 0 0 0 0 2 2 4 0 0
1 1 0 0 1 0 0 0 2 1 1 0 0 2 2 1 0 0 2 1 0 1 1 0 0
1 0 1 1 0 0 0 0 2 1 1 0 0 2 2 1 0 0 1 2 1 0 1 0 0
