GM:(0,0,0)  L:(1/2,1/2,1/2)  W:(1/2,1,0)  X:(0,1,0)
GM:(0,0,0)  L:(1/2,1/2,1/2)  W:(1/2,1,0)  X:(0,1,0)
GM3  GM1  GM2  GM4  GM5  GM8  GM6  GM7  L3  L1  L2  L4L5  L6  W1W3  W2W4  W5W5  W6W6  W7W8  X1X3  X2X4  X5  X6X7
2 1 1 3 3 4 2 2 2 1 1 2 2 2 2 2 2 2 2 2 2 4
16a (23,23) 1E 4 1;16a (23,23) 2E 4 1;16a (23,23) A 4 1;16a (23,23) T 2 1;16a (23,23) 1F 8 0;16a (23,23) 2F 8 0;16a (23,23) E 8 0;32b (32',3) 1E 8 1;32b (32',3) 2E 8 1;32b (32',3) A1 8 1;32b (32',3) 1E 8 0;32b (32',3) 2E 8 0;32b (32',3) E 8 0;32c (3',3) A1 8 1;48d (4,4) 1E 2 1;48d (4,4) 2E 2 1;48d (4,4) A 2 0;48d (4,4) B 2 0;48d (4,4) 1E1 2 0;48d (4,4) 1E2 2 0;48d (4,4) 2E1 2 0;48d (4,4) 2E2 2 0
2 0 0 0 0 0 0 0 2 0 0 0 0 1 1 0 0 0 1 1 0 0
2 0 0 0 0 0 0 0 2 0 0 0 0 1 1 0 0 0 1 1 0 0
0 2 2 0 0 0 0 0 0 2 2 0 0 1 1 0 0 0 1 1 0 0
0 0 0 2 2 0 0 0 4 2 2 0 0 3 3 0 0 0 1 1 4 0
0 0 0 0 0 2 0 0 0 0 0 2 2 0 0 1 1 2 0 0 0 2
0 0 0 0 0 2 0 0 0 0 0 2 2 0 0 1 1 2 0 0 0 2
0 0 0 0 0 0 2 2 0 0 0 0 4 0 0 1 1 2 0 0 0 2
1 0 0 1 1 0 0 0 3 1 1 0 0 2 2 0 0 0 1 1 2 0
1 0 0 1 1 0 0 0 3 1 1 0 0 2 2 0 0 0 1 1 2 0
0 1 1 1 1 0 0 0 2 2 2 0 0 2 2 0 0 0 1 1 2 0
0 0 0 0 0 1 1 1 0 0 0 1 3 0 0 1 1 2 0 0 0 2
0 0 0 0 0 1 1 1 0 0 0 1 3 0 0 1 1 2 0 0 0 2
0 0 0 0 0 2 0 0 0 0 0 2 2 0 0 1 1 2 0 0 0 2
0 1 1 1 1 0 0 0 2 2 2 0 0 2 2 0 0 0 1 1 2 0
0 0 0 2 2 0 0 0 4 2 2 0 0 4 2 0 0 0 1 1 4 0
0 0 0 2 2 0 0 0 4 2 2 0 0 2 4 0 0 0 1 1 4 0
2 2 0 0 2 0 0 0 4 2 2 0 0 3 3 0 0 0 2 2 2 0
2 0 2 2 0 0 0 0 4 2 2 0 0 3 3 0 0 0 2 2 2 0
0 0 0 0 0 2 2 0 0 0 0 2 4 0 0 2 1 3 0 0 0 3
0 0 0 0 0 2 0 2 0 0 0 2 4 0 0 1 2 3 0 0 0 3
0 0 0 0 0 2 2 0 0 0 0 2 4 0 0 1 2 3 0 0 0 3
0 0 0 0 0 2 0 2 0 0 0 2 4 0 0 2 1 3 0 0 0 3

