GM:(0,0,0)  R:(1/2,1/2,1/2)  S:(1/2,1/2,0)  T:(0,1/2,1/2)  U:(1/2,0,1/2)  X:(1/2,0,0)  Y:(0,1/2,0)  Z:(0,0,1/2)
GM:(0,0,0)  R:(1/2,1/2,1/2)  S:(1/2,1/2,0)  T:(0,1/2,1/2)  U:(1/2,0,1/2)  X:(1/2,0,0)  Y:(0,1/2,0)  Z:(0,0,1/2)
GM1  GM2  GM4  GM3  GM5  R1  R2  R4  R3  R5  S1  S2  S4  S3  S5  T1  T2  T4  T3  T5  U1  U2  U4  U3  U5  X1  X2  X4  X3  X5  Y1  Y2  Y4  Y3  Y5  Z1  Z2  Z4  Z3  Z5
1 1 1 1 2 1 1 1 1 2 1 1 1 1 2 1 1 1 1 2 1 1 1 1 2 1 1 1 1 2 1 1 1 1 2 1 1 1 1 2
1a (m'm'm',222) A1 1 1,1a (m'm'm',222) B1 1 1,1a (m'm'm',222) B2 1 1,1a (m'm'm',222) B3 1 1,1a (m'm'm',222) E 2 1,1b (m'm'm',222) A1 1 1,1b (m'm'm',222) B1 1 1,1b (m'm'm',222) B2 1 1,1b (m'm'm',222) B3 1 1,1b (m'm'm',222) E 2 1,1c (m'm'm',222) A1 1 1,1c (m'm'm',222) B1 1 1,1c (m'm'm',222) B2 1 1,1c (m'm'm',222) B3 1 1,1c (m'm'm',222) E 2 1,1d (m'm'm',222) A1 1 1,1d (m'm'm',222) B1 1 1,1d (m'm'm',222) B2 1 1,1d (m'm'm',222) B3 1 1,1d (m'm'm',222) E 2 1,1e (m'm'm',222) A1 1 1,1e (m'm'm',222) B1 1 1,1e (m'm'm',222) B2 1 1,1e (m'm'm',222) B3 1 1,1e (m'm'm',222) E 2 1,1f (m'm'm',222) A1 1 1,1f (m'm'm',222) B1 1 1,1f (m'm'm',222) B2 1 1,1f (m'm'm',222) B3 1 1,1f (m'm'm',222) E 2 1,1g (m'm'm',222) A1 1 1,1g (m'm'm',222) B1 1 1,1g (m'm'm',222) B2 1 1,1g (m'm'm',222) B3 1 1,1g (m'm'm',222) E 2 1,1h (m'm'm',222) A1 1 1,1h (m'm'm',222) B1 1 1,1h (m'm'm',222) B2 1 1,1h (m'm'm',222) B3 1 1,1h (m'm'm',222) E 2 1
1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0
0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0
0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0
0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0
0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1
1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0
0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0
0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0
0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0
