GM:(0,0,0)  R:(-1/2,1/2,-1/2)  S:(-1/2,1/2,0)  T:(1,0,1/2)  Y:(1,0,0)  Z:(0,0,1/2)
GM:(0,0,0)  L:(1/2,1/2,1/2)  V:(1/2,1/2,0)  M:(0,1,1/2)  Y:(0,1,0)  A:(0,0,1/2)
GM1+  GM1-  GM2+  GM2-  GM4  GM6  GM3  GM5  (R)L1+  (R)L1-  (R)L3  (R)L2  (S)V1+  (S)V1-  (S)V3  (S)V2  (T)M1+  (T)M1-  (T)M2+  (T)M2-  (T)M4  (T)M6  (T)M3  (T)M5  Y1+  Y1-  Y2+  Y2-  Y4  Y6  Y3  Y5  (Z)A1+  (Z)A1-  (Z)A2+  (Z)A2-  (Z)A4  (Z)A6  (Z)A3  (Z)A5
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2a (m'm'm,2/m) Ag 1 1;2a (m'm'm,2/m) Au 1 1;2a (m'm'm,2/m) Bg 1 1;2a (m'm'm,2/m) Bu 1 1;2a (m'm'm,2/m) 1Eg 1 1;2a (m'm'm,2/m) 1Eu 1 1;2a (m'm'm,2/m) 2Eg 1 1;2a (m'm'm,2/m) 2Eu 1 1;2b (m'm'm,2/m) Ag 1 1;2b (m'm'm,2/m) Au 1 1;2b (m'm'm,2/m) Bg 1 1;2b (m'm'm,2/m) Bu 1 1;2b (m'm'm,2/m) 1Eg 1 1;2b (m'm'm,2/m) 1Eu 1 1;2b (m'm'm,2/m) 2Eg 1 1;2b (m'm'm,2/m) 2Eu 1 1;2c (m'm'm,2/m) Ag 1 1;2c (m'm'm,2/m) Au 1 1;2c (m'm'm,2/m) Bg 1 1;2c (m'm'm,2/m) Bu 1 1;2c (m'm'm,2/m) 1Eg 1 1;2c (m'm'm,2/m) 1Eu 1 1;2c (m'm'm,2/m) 2Eg 1 1;2c (m'm'm,2/m) 2Eu 1 1;2d (m'm'm,2/m) Ag 1 1;2d (m'm'm,2/m) Au 1 1;2d (m'm'm,2/m) Bg 1 1;2d (m'm'm,2/m) Bu 1 1;2d (m'm'm,2/m) 1Eg 1 1;2d (m'm'm,2/m) 1Eu 1 1;2d (m'm'm,2/m) 2Eg 1 1;2d (m'm'm,2/m) 2Eu 1 1;4e (2'/m',1) Ag 2 1;4e (2'/m',1) Au 2 1;4e (2'/m',1) Ag 2 1;4e (2'/m',1) Au 2 1;4f (2'/m',1) Ag 2 1;4f (2'/m',1) Au 2 1;4f (2'/m',1) Ag 2 1;4f (2'/m',1) Au 2 1
1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0
0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0
0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0
0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0
0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0
0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1
1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0
