GM:(0,0,0)  L:(1/2,1/2,1/2)  T:(1,0,0)  Y:(0,1,0)  Z:(0,0,1)
GM:(0,0,0)  L:(1/2,1/2,1/2)  T:(1,0,0)  Y:(0,1,0)  Z:(0,0,1)
GM1+  GM1-  GM2+  GM2-  GM4+  GM4-  GM3+  GM3-  GM5  GM6  L1-L1+  L2L3  T1  T2  T3T4  Y1  Y2  Y3Y4  Z1  Z2  Z3Z4
1 1 1 1 1 1 1 1 2 2 2 2 2 2 4 2 2 4 2 2 4
16a (222,222) A1 4 0,16a (222,222) B1 4 0,16a (222,222) B2 4 0,16a (222,222) B3 4 0,16b (2'2'2,2) A 4 0,16b (2'2'2,2) B 4 0,16b (2'2'2,2) 1E 4 1,16b (2'2'2,2) 2E 4 1,16c (2'2'2,2) A 4 0,16c (2'2'2,2) B 4 0,16c (2'2'2,2) 1E 4 1,16c (2'2'2,2) 2E 4 1,16d (2'2'2,2) A 4 0,16d (2'2'2,2) B 4 0,16d (2'2'2,2) 1E 4 1,16d (2'2'2,2) 2E 4 1,32e (1,1) Ag 8 0,32e (1,1) Au 8 0,32e (1,1) Ag 8 0,32e (1,1) Au 8 0,32f (1',1) A 8 0
2 2 0 0 0 0 0 0 0 0 2 0 2 0 0 2 0 0 2 0 0
0 0 2 2 0 0 0 0 0 0 2 0 0 2 0 0 2 0 2 0 0
0 0 0 0 2 2 0 0 0 0 2 0 0 2 0 2 0 0 0 2 0
0 0 0 0 0 0 2 2 0 0 2 0 2 0 0 0 2 0 0 2 0
1 1 0 0 0 0 1 1 0 0 2 0 2 0 0 1 1 0 1 1 0
0 0 1 1 1 1 0 0 0 0 2 0 0 2 0 1 1 0 1 1 0
0 0 0 0 0 0 0 0 1 1 0 2 0 0 1 0 0 1 0 0 1
0 0 0 0 0 0 0 0 1 1 0 2 0 0 1 0 0 1 0 0 1
1 1 1 1 0 0 0 0 0 0 2 0 1 1 0 1 1 0 2 0 0
0 0 0 0 1 1 1 1 0 0 2 0 1 1 0 1 1 0 0 2 0
0 0 0 0 0 0 0 0 1 1 0 2 0 0 1 0 0 1 0 0 1
0 0 0 0 0 0 0 0 1 1 0 2 0 0 1 0 0 1 0 0 1
1 1 0 0 1 1 0 0 0 0 2 0 1 1 0 2 0 0 1 1 0
0 0 1 1 0 0 1 1 0 0 2 0 1 1 0 0 2 0 1 1 0
0 0 0 0 0 0 0 0 1 1 0 2 0 0 1 0 0 1 0 0 1
0 0 0 0 0 0 0 0 1 1 0 2 0 0 1 0 0 1 0 0 1
2 0 2 0 2 0 2 0 0 0 4 0 2 2 0 2 2 0 2 2 0
