GM:(0,0,0)  M:(1,1,1)  N:(1/2,0,1/2)  P:(1/2,1/2,1/2)  X:(1/2,1/2,0)
GM:(0,0,0)  M:(1,1,1)  N:(1/2,0,1/2)  P:(1/2,1/2,1/2)  X:(1/2,1/2,0)
GM4+  GM4-  GM3+  GM3-  GM1+  GM1-  GM2+  GM2-  GM8  GM12  GM7  GM11  GM6  GM10  GM5  GM9  M4+  M4-  M3+  M3-  M1+  M1-  M2+  M2-  M8  M12  M7  M11  M6  M10  M5  M9  N1+  N1-  N3  N2  P4  P3  P1  P2  P8  P7  P6  P5  X2+  X2-  X1+  X1-  X4  X6  X3  X5
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2a (4/m,4/m) 1Eg 1 1,2a (4/m,4/m) 1Eu 1 1,2a (4/m,4/m) 2Eg 1 1,2a (4/m,4/m) 2Eu 1 1,2a (4/m,4/m) Ag 1 1,2a (4/m,4/m) Au 1 1,2a (4/m,4/m) Bg 1 1,2a (4/m,4/m) Bu 1 1,2a (4/m,4/m) 1E1g 1 1,2a (4/m,4/m) 1E1u 1 1,2a (4/m,4/m). 1E2g 1 1,2a (4/m,4/m). 1E2u 1 1,2a (4/m,4/m). 2E1g 1 1,2a (4/m,4/m). 2E1u 1 1,2a (4/m,4/m). 2E2g 1 1,2a (4/m,4/m). 2E2u 1 1,2b (4/m,4/m) 1Eg 1 1,2b (4/m,4/m) 1Eu 1 1,2b (4/m,4/m) 2Eg 1 1,2b (4/m,4/m) 2Eu 1 1,2b (4/m,4/m) Ag 1 1,2b (4/m,4/m) Au 1 1,2b (4/m,4/m) Bg 1 1,2b (4/m,4/m) Bu 1 1,2b (4/m,4/m) 1E1g 1 1,2b (4/m,4/m) 1E1u 1 1,2b (4/m,4/m). 1E2g 1 1,2b (4/m,4/m). 1E2u 1 1,2b (4/m,4/m). 2E1g 1 1,2b (4/m,4/m). 2E1u 1 1,2b (4/m,4/m). 2E2g 1 1,2b (4/m,4/m). 2E2u 1 1,4c (2/m,2/m) Ag 2 0,4c (2/m,2/m) Au 2 0,4c (2/m,2/m) Bg 2 0,4c (2/m,2/m) Bu 2 0,4c (2/m,2/m) 1Eg 2 0,4c (2/m,2/m) 1Eu 2 0,4c (2/m,2/m) 2Eg 2 0,4c (2/m,2/m) 2Eu 2 0,4d (4,4) 1E 2 1,4d (4,4) 2E 2 1,4d (4,4) A 2 1,4d (4,4) B 2 1,4d (4,4) 1E1 2 1,4d (4,4) 1E2 2 1,4d (4,4) 2E1 2 1,4d (4,4) 2E2 2 1,8f (1,1) Ag 4 0,8f (1,1) Au 4 0,8f (1,1) Ag 4 0,8f (1,1) Au 4 0
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0
0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0
0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0
0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0
0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0
0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0
