GM:(0,0,0)  A:(1/2,1/2,1/2)  M:(1/2,1/2,0)  R:(0,1/2,1/2)  X:(0,1/2,0)  Z:(0,0,1/2)
GM:(0,0,0)  A:(1/2,1/2,1/2)  M:(1/2,1/2,0)  R:(0,1/2,1/2)  X:(0,1/2,0)  Z:(0,0,1/2)
GM1  GM3  GM2  GM4  GM5  GM7  GM6  A1A3  A2A4  A5  A7  A6  M1  M3  M2  M4  M5  M7  M6  R1R2  R3R4  R5  X1  X2  X3  X4  X5  Z1Z3  Z2Z4  Z5  Z7  Z6
1 1 1 1 2 2 2 2 2 2 2 2 1 1 1 1 2 2 2 2 2 2 1 1 1 1 2 2 2 2 2 2
2a (422,422) A1 2 1,2a (422,422) A2 2 1,2a (422,422) B1 2 1,2a (422,422) B2 2 1,2b (42'2',4) 1E 2 1,2b (42'2',4) 2E 2 1,2b (42'2',4) A 2 1,2b (42'2',4) B 2 1,2b (42'2',4) 1E1 2 1,2b (42'2',4) 1E2 2 1,2b (42'2',4) 2E1 2 1,2b (42'2',4) 2E2 2 1,2c (422,422) A1 2 1,2c (422,422) A2 2 1,2c (422,422) B1 2 1,2c (422,422) B2 2 1,2d (42'2',4) 1E 2 1,2d (42'2',4) 2E 2 1,2d (42'2',4) A 2 1,2d (42'2',4) B 2 1,2d (42'2',4) 1E1 2 1,2d (42'2',4) 1E2 2 1,2d (42'2',4) 2E1 2 1,2d (42'2',4) 2E2 2 1,4e (222,222) A1 4 1,4e (222,222) B1 4 1,4e (222,222) B2 4 1,4e (222,222) B3 4 1,4f (2'2'2,2) A 4 0,4f (2'2'2,2) B 4 0,4f (2'2'2,2) 1E 4 0,4f (2'2'2,2) 2E 4 0
2 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 1 0 0 2 0 0 0 0 1 0 0 0 0
0 2 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 2 0 0 0 1 0 0 0 0
0 0 2 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 1 0 0 2 0 0 0 0 0 1 0 0 0
0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 1 0 0 0 2 0 0 0 0 1 0 0 0
0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0
0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0
1 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0
0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0
0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0
0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1
0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0
0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1
2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 2 0 1 0 0 0 0
0 2 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 2 0 0 1 0 0 0 0
0 0 2 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 2 0 0 1 0 0 0
0 0 0 2 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 1 0 0 0
0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0
0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0
1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0
